 t       A(O)      A(F)
 0.03  6.504149  2.406862
 0.04  7.040211  2.889272
 0.05  7.341397  3.175470
 0.06  7.535678  3.372412
 0.07  7.675345  3.517709
 0.08  7.783915  3.631428
 0.09  7.872281  3.724122
 0.10  7.945861  3.801266
 0.11  8.008447  3.867936
 0.12  8.062923  3.927201
 0.13  8.111004  3.980286
 0.14  8.151715  4.026487
 0.15  8.188694  4.068812
 0.16  8.222866  4.107902
 0.17  8.254625  4.144191
 0.18  8.284172  4.177935
 0.19  8.311690  4.209281
 0.20  8.337599  4.238716
 0.21  8.362567  4.265153
 0.22  8.386316  4.288835
 0.23  8.408496  4.310691
 0.24  8.429228  4.331063
 0.25  8.448738  4.350216
 0.26  8.467089  4.368251
 0.27  8.484534  4.385419
 0.28  8.501054  4.401684
 0.29  8.516779  4.417189
 0.30  8.531828  4.432039
 0.31  8.546232  4.446266
 0.32  8.560044  4.459926
 0.33  8.573306  4.473062
 0.34  8.586082  4.485724
 0.35  8.598466  4.498201
 0.36  8.610584  4.510857
 0.37  8.622431  4.523440
 0.38  8.633985  4.535700
 0.39  8.645249  4.547647
 0.40  8.656248  4.559301
 0.41  8.667003  4.570688
 0.42  8.677520  4.581785
 0.43  8.687816  4.592674
 0.44  8.697886  4.603321
 0.45  8.707749  4.613702
 0.46  8.717413  4.623905
 0.47  8.726882  4.633900
 0.48  8.736164  4.643692
 0.49  8.745267  4.653293
 0.50  8.754198  4.662712
 0.51  8.762963  4.671954
 0.52  8.771568  4.681028
 0.53  8.780029  4.689940
 0.54  8.788308  4.698692
 0.55  8.796458  4.707297
 0.56  8.804515  4.715754
 0.57  8.812366  4.724070
 0.58  8.820138  4.732283
 0.59  8.827755  4.740394
 0.60  8.835298  4.748348
 0.61  8.842658  4.756180
 0.62  8.849951  4.763865
 0.63  8.857142  4.771465
 0.64  8.864200  4.778954
 0.65  8.871164  4.786309
 0.66  8.878031  4.793556
 0.67  8.884780  4.800708
 0.68  8.891477  4.807762
 0.69  8.898053  4.814719
 0.70  8.904519  4.821588
 0.71  8.910940  4.828368
 0.72  8.917249  4.835034
 0.73  8.923488  4.841645
 0.74  8.929651  4.848170
 0.75  8.935748  4.854597
 0.76  8.941743  4.860965
 0.77  8.947677  4.867241
 0.78  8.953542  4.873462
 0.79  8.959320  4.879594
 0.80  8.965033  4.885653
 0.81  8.970720  4.891671
 0.82  8.976349  4.897622
 0.83  8.981889  4.903526
 0.84  8.987406  4.909351
 0.85  8.992842  4.915114
 0.86  8.998226  4.920817
 0.87  9.003553  4.926438
 0.88  9.008809  4.932006
 0.89  9.014016  4.937499
 0.90  9.019171  4.942935
 0.91  9.024259  4.948303
 0.92  9.029327  4.953620
 0.93  9.034321  4.958864
 0.94  9.039277  4.964065
 0.95  9.044161  4.969195
 0.96  9.049009  4.974285
 0.97  9.053836  4.979306
 0.98  9.058604  4.984271
 0.99  9.063310  4.989194
 1.00  9.067997  4.994070
 1.01  9.072545  4.998792
 1.02  9.071686  5.003942
 1.03  9.066434  5.000013
 1.04  9.061083  4.995237
 1.05  9.055894  4.990631
 1.06  9.050830  4.986168
 1.07  9.045879  4.981828
 1.08  9.041085  4.977621
 1.09  9.036388  4.973543
 1.10  9.031816  4.969560
 1.11  9.027337  4.965664
 1.12  9.022963  4.961867
 1.13  9.018697  4.958152
 1.14  9.014512  4.954536
 1.15  9.010436  4.951002
 1.16  9.006422  4.947574
 1.17  9.002495  4.944193
 1.18  8.998656  4.940917
 1.19  8.994909  4.937691
 1.20  8.991222  4.934549
 1.21  8.987606  4.931463
 1.22  8.984059  4.928449
 1.23  8.980606  4.925483
 1.24  8.977195  4.922572
 1.25  8.973853  4.919690
 1.26  8.970585  4.916885
 1.27  8.967364  4.914116
 1.28  8.964215  4.911400
 1.29  8.961110  4.908695
 1.30  8.958056  4.906049
 1.31  8.955077  4.903437
 1.32  8.952145  4.900860
 1.33  8.949262  4.898317
 1.34  8.946428  4.895810
 1.35  8.943648  4.893343
 1.36  8.940920  4.890891
 1.37  8.938238  4.888493
 1.38  8.935583  4.886116
 1.39  8.932981  4.883776
 1.40  8.930434  4.881475
 1.41  8.927905  4.879186
 1.42  8.925436  4.876941
 1.43  8.923019  4.874731
 1.44  8.920627  4.872539
 1.45  8.918266  4.870370
 1.46  8.915958  4.868260
 1.47  8.913704  4.866141
 1.48  8.911450  4.864069
 1.49  8.909251  4.862011
 1.50  8.907081  4.859996
 1.51  8.904934  4.857997
 1.52  8.902821  4.856046
 1.53  8.900766  4.854087
 1.54  8.898735  4.852168
 1.55  8.896706  4.850275
 1.56  8.894737  4.848422
 1.57  8.892793  4.846562
 1.58  8.890881  4.844748
 1.59  8.888967  4.842956
 1.60  8.887113  4.841182
 1.61  8.885292  4.839431
 1.62  8.883469  4.837702
 1.63  8.881705  4.835987
 1.64  8.879943  4.834301
 1.65  8.878210  4.832633
 1.66  8.876507  4.830984
 1.67  8.874837  4.829359
 1.68  8.873167  4.827783
 1.69  8.871557  4.826198
 1.70  8.869951  4.824641
 1.71  8.868372  4.823101
 1.72  8.866796  4.821565
 1.73  8.865247  4.820069
 1.74  8.863734  4.818575
 1.75  8.862258  4.817131
 1.76  8.860772  4.815678
 1.77  8.859327  4.814255
 1.78  8.857874  4.812824
 1.79  8.856458  4.811445
 1.80  8.855079  4.810067
 1.81  8.853692  4.808706
 1.82  8.852342  4.807372
 1.83  8.850993  4.806065
 1.84  8.849674  4.804749
 1.85  8.848392  4.803462
 1.86  8.847112  4.802175
 1.87  8.845824  4.800933
 1.88  8.844613  4.799692
 1.89  8.843365  4.798453
 1.90  8.842148  4.797232
 1.91  8.840970  4.796040
 1.92  8.839789  4.794872
 1.93  8.838610  4.793705
 1.94  8.837467  4.792562
 1.95  8.836359  4.791417
 1.96  8.835249  4.790295
 1.97  8.834140  4.789176
 1.98  8.833063  4.788104
 1.99  8.831993  4.787011
 2.00  8.830916  4.785966
 2.01  8.829881  4.784896
 2.02  8.828877  4.783873
 2.03  8.827837  4.782826
 2.04  8.826838  4.781835
 2.05  8.825872  4.780838
 2.06  8.824908  4.779844
 2.07  8.823943  4.778875
 2.08  8.823015  4.777931
 2.09  8.822051  4.776963
 2.10  8.821159  4.776044
 2.11  8.820230  4.775127
 2.12  8.819339  4.774209
 2.13  8.818447  4.773317
 2.14  8.817593  4.772424
 2.15  8.816702  4.771533
 2.16  8.815885  4.770664
 2.17  8.815031  4.769826
 2.18  8.814216  4.768959
 2.19  8.813364  4.768151
 2.20  8.812586  4.767309
 2.21  8.811767  4.766493
 2.22  8.810991  4.765681
 2.23  8.810215  4.764896
 2.24  8.809436  4.764110
 2.25  8.808657  4.763350
 2.26  8.807917  4.762562
 2.27  8.807181  4.761833
 2.28  8.806439  4.761070
 2.29  8.805741  4.760340
 2.30  8.805001  4.759608
 2.31  8.804301  4.758904
 2.32  8.803600  4.758170
 2.33  8.802898  4.757492
 2.34  8.802237  4.756785
 2.35  8.801579  4.756110
 2.36  8.800874  4.755430
 2.37  8.800214  4.754753
 2.38  8.799595  4.754075
 2.39  8.798933  4.753426
 2.40  8.798312  4.752775
 2.41  8.797649  4.752153
 2.42  8.797026  4.751501
 2.43  8.796403  4.750877
 2.44  8.795825  4.750257
 2.45  8.795200  4.749661
 2.46  8.794621  4.749040
 2.47  8.794041  4.748447
 2.48  8.793414  4.747848
 2.49  8.792832  4.747254
 2.50  8.792292  4.746688
 2.51  8.791710  4.746122
 2.52  8.791168  4.745555
 2.53  8.790584  4.744987
 2.54  8.790046  4.744423
 2.55  8.789503  4.743884
 2.56  8.788964  4.743349
 2.57  8.788420  4.742808
 2.58  8.787922  4.742272
 2.59  8.787381  4.741734
 2.60  8.786877  4.741222
 2.61  8.786335  4.740714
 2.62  8.785835  4.740205
 2.63  8.785378  4.739695
 2.64  8.784881  4.739219
 2.65  8.784380  4.738709
 2.66  8.783920  4.738228
 2.67  8.783422  4.737751
 2.68  8.782962  4.737269
 2.69  8.782506  4.736821
 2.70  8.782045  4.736338
 2.71  8.781589  4.735889
 2.72  8.781131  4.735440
 2.73  8.780674  4.734991
 2.74  8.780259  4.734541
 2.75  8.779800  4.734121
 2.76  8.779384  4.733670
 2.77  8.778968  4.733249
 2.78  8.778556  4.732832
 2.79  8.778140  4.732411
