 t       A(O)      A(F)
 0.03  6.878582 -1.367055
 0.04  7.269990 -0.998382
 0.05  7.505464  0.696225
 0.06  7.658386  1.173868
 0.07  7.772398  1.436375
 0.08  7.862960  1.613817
 0.09  7.936258  1.804603
 0.10  7.996016  2.025186
 0.11  8.047017  2.214740
 0.12  8.091540  2.369037
 0.13  8.130590  2.494800
 0.14  8.164952  2.599090
 0.15  8.196154  2.688684
 0.16  8.224807  2.766958
 0.17  8.251374  2.836383
 0.18  8.276049  2.898614
 0.19  8.299054  2.954836
 0.20  8.320562  3.005920
 0.21  8.340786  3.052706
 0.22  8.359993  3.096164
 0.23  8.378626  3.137909
 0.24  8.396464  3.178032
 0.25  8.413447  3.216619
 0.26  8.429686  3.253670
 0.27  8.445160  3.289101
 0.28  8.459964  3.323038
 0.29  8.474182  3.355620
 0.30  8.487788  3.386841
 0.31  8.500907  3.416877
 0.32  8.513478  3.445710
 0.33  8.525592  3.473451
 0.34  8.537269  3.500171
 0.35  8.548584  3.525979
 0.36  8.559474  3.550849
 0.37  8.570003  3.574891
 0.38  8.580191  3.598111
 0.39  8.590060  3.620666
 0.40  8.599628  3.642491
 0.41  8.608915  3.663670
 0.42  8.617929  3.684247
 0.43  8.626698  3.704288
 0.44  8.635223  3.723766
 0.45  8.643515  3.742714
 0.46  8.651540  3.761148
 0.47  8.659383  3.779125
 0.48  8.667013  3.796650
 0.49  8.674441  3.813752
 0.50  8.681685  3.830454
 0.51  8.688746  3.846779
 0.52  8.695641  3.862747
 0.53  8.702371  3.878354
 0.54  8.708942  3.893654
 0.55  8.715365  3.908644
 0.56  8.721639  3.923316
 0.57  8.727774  3.937706
 0.58  8.733778  3.951791
 0.59  8.739648  3.965598
 0.60  8.745400  3.979148
 0.61  8.751029  3.992443
 0.62  8.756539  4.005462
 0.63  8.761938  4.018267
 0.64  8.767237  4.030822
 0.65  8.772435  4.043167
 0.66  8.777492  4.055294
 0.67  8.782492  4.067237
 0.68  8.787399  4.078977
 0.69  8.792174  4.090511
 0.70  8.796902  4.101897
 0.71  8.801499  4.113084
 0.72  8.806053  4.124122
 0.73  8.810485  4.134978
 0.74  8.814877  4.145706
 0.75  8.819148  4.156271
 0.76  8.823381  4.166703
 0.77  8.827545  4.176980
 0.78  8.831589  4.187104
 0.79  8.835604  4.197071
 0.80  8.839549  4.206905
 0.81  8.843422  4.216564
 0.82  8.847228  4.226032
 0.83  8.850968  4.235335
 0.84  8.854681  4.244423
 0.85  8.858290  4.253321
 0.86  8.861872  4.262021
 0.87  8.865394  4.270516
 0.88  8.868818  4.278816
 0.89  8.872256  4.286915
 0.90  8.875598  4.294811
 0.91  8.878880  4.302513
 0.92  8.882144  4.310028
 0.93  8.885349  4.317348
 0.94  8.888500  4.324469
 0.95  8.891627  4.331394
 0.96  8.894706  4.338147
 0.97  8.897725  4.344690
 0.98  8.900698  4.351089
