 t       A(O)      A(F)
 1.88  8.732475  4.759090
 1.89  8.730925  4.757476
 1.90  8.729394  4.755851
 1.91  8.727896  4.754259
 1.92  8.726418  4.752714
 1.93  8.724964  4.751169
 1.94  8.723540  4.749677
 1.95  8.722136  4.748180
 1.96  8.720758  4.746712
 1.97  8.719399  4.745269
 1.98  8.718067  4.743856
 1.99  8.716755  4.742463
 2.00  8.715465  4.741070
 2.01  8.714195  4.739737
 2.02  8.712948  4.738396
 2.03  8.711716  4.737086
 2.04  8.710507  4.735802
 2.05  8.709320  4.734514
 2.06  8.708149  4.733287
 2.07  8.706996  4.732057
 2.08  8.705860  4.730824
 2.09  8.704742  4.729649
 2.10  8.703637  4.728440
 2.11  8.702549  4.727293
 2.12  8.701479  4.726144
 2.13  8.700417  4.725018
 2.14  8.699378  4.723898
 2.15  8.698352  4.722802
 2.16  8.697339  4.721708
 2.17  8.696335  4.720637
 2.18  8.695354  4.719600
 2.19  8.694381  4.718560
 2.20  8.693427  4.717554
 2.21  8.692481  4.716541
 2.22  8.691545  4.715526
 2.23  8.690627  4.714545
 2.24  8.689722  4.713592
 2.25  8.688827  4.712638
 2.26  8.687940  4.711682
 2.27  8.687072  4.710760
 2.28  8.686214  4.709832
 2.29  8.685364  4.708938
 2.30  8.684524  4.708038
 2.31  8.683698  4.707173
 2.32  8.682886  4.706274
 2.33  8.682073  4.705438
 2.34  8.681279  4.704572
 2.35  8.680490  4.703732
 2.36  8.679705  4.702923
 2.37  8.678934  4.702085
 2.38  8.678168  4.701273
 2.39  8.677416  4.700464
 2.40  8.676668  4.699686
 2.41  8.675925  4.698907
 2.42  8.675196  4.698127
 2.43  8.674467  4.697377
 2.44  8.673753  4.696594
 2.45  8.673042  4.695847
 2.46  8.672342  4.695127
 2.47  8.671640  4.694373
 2.48  8.670954  4.693655
 2.49  8.670272  4.692932
 2.50  8.669600  4.692244
 2.51  8.668933  4.691523
 2.52  8.668269  4.690834
 2.53  8.667616  4.690144
 2.54  8.666968  4.689485
 2.55  8.666324  4.688793
 2.56  8.665685  4.688133
 2.57  8.665056  4.687472
 2.58  8.664438  4.686810
 2.59  8.663828  4.686185
 2.60  8.663219  4.685554
 2.61  8.662625  4.684927
 2.62  8.662041  4.684300
 2.63  8.661452  4.683700
 2.64  8.660883  4.683104
 2.65  8.660314  4.682508
 2.66  8.659756  4.681911
 2.67  8.659206  4.681317
 2.68  8.658663  4.680752
 2.69  8.658125  4.680186
 2.70  8.657592  4.679620
 2.71  8.657069  4.679091
 2.72  8.656546  4.678523
 2.73  8.656038  4.677993
 2.74  8.655535  4.677463
 2.75  8.655038  4.676931
 2.76  8.654541  4.676429
 2.77  8.654054  4.675897
 2.78  8.653577  4.675398
 2.79  8.653101  4.674898
