 t       A(O)      A(F)
 0.03  6.119798  2.012490
 0.04  6.679156  2.503764
 0.05  6.990579  2.783385
 0.06  7.190190  2.978701
 0.07  7.332505  3.124289
 0.08  7.441649  3.237759
 0.09  7.529802  3.329978
 0.10  7.603498  3.407256
 0.11  7.666724  3.473608
 0.12  7.721874  3.531511
 0.13  7.770664  3.582784
 0.14  7.814338  3.628612
 0.15  7.853562  3.669988
 0.16  7.889188  3.708338
 0.17  7.921802  3.743976
 0.18  7.951841  3.777255
 0.19  7.979633  3.808336
 0.20  8.005570  3.837580
 0.21  8.029789  3.865083
 0.22  8.052181  3.890769
 0.23  8.072808  3.914695
 0.24  8.092296  3.937427
 0.25  8.110810  3.959096
 0.26  8.128409  3.979708
 0.27  8.145253  3.999455
 0.28  8.161345  4.018358
 0.29  8.176743  4.036472
 0.30  8.191472  4.053831
 0.31  8.205647  4.070563
 0.32  8.219280  4.086686
 0.33  8.232308  4.102139
 0.34  8.244866  4.117090
 0.35  8.256986  4.131531
 0.36  8.268650  4.145464
 0.37  8.279955  4.158994
 0.38  8.290894  4.172124
 0.39  8.301493  4.184705
 0.40  8.311912  4.196724
 0.41  8.322012  4.208313
 0.42  8.331719  4.219638
 0.43  8.341063  4.230721
 0.44  8.350031  4.241528
 0.45  8.358715  4.252158
 0.46  8.367108  4.262575
 0.47  8.375213  4.272790
 0.48  8.383053  4.282810
 0.49  8.390649  4.292636
 0.50  8.398002  4.302283
 0.51  8.405098  4.311707
 0.52  8.412021  4.321010
 0.53  8.418747  4.330154
 0.54  8.425273  4.339145
 0.55  8.431625  4.347989
 0.56  8.437809  4.356697
 0.57  8.443822  4.365261
 0.58  8.449643  4.373656
 0.59  8.455348  4.381959
 0.60  8.460914  4.390139
 0.61  8.466337  4.398192
 0.62  8.471588  4.406087
 0.63  8.476764  4.413912
 0.64  8.481809  4.421629
 0.65  8.486736  4.429246
 0.66  8.491512  4.436717
 0.67  8.496218  4.444138
 0.68  8.500823  4.451479
 0.69  8.505285  4.458704
 0.70  8.509694  4.465891
 0.71  8.514000  4.473024
 0.72  8.518180  4.480046
 0.73  8.522305  4.487061
 0.74  8.526307  4.493986
 0.75  8.530274  4.500905
 0.76  8.534157  4.507798
 0.77  8.537914  4.514609
 0.78  8.541649  4.521433
 0.79  8.545275  4.528207
 0.80  8.548837  4.534967
 0.81  8.552351  4.541750
 0.82  8.555821  4.548559
 0.83  8.559243  4.555347
 0.84  8.562609  4.562079
 0.85  8.565931  4.568763
 0.86  8.569196  4.575351
 0.87  8.572415  4.581882
 0.88  8.575583  4.588365
 0.89  8.578711  4.594798
 0.90  8.581787  4.601098
 0.91  8.584819  4.607350
 0.92  8.587811  4.613480
 0.93  8.590759  4.619528
 0.94  8.593671  4.625460
 0.95  8.596535  4.631274
 0.96  8.599367  4.636947
 0.97  8.602156  4.642505
 0.98  8.604914  4.647930
 0.99  8.607638  4.653221
 1.00  8.610324  4.658377
 1.01  8.612892  4.663230
 1.02  8.611325  4.667524
 1.03  8.603169  4.664969
 1.04  8.594126  4.659338
 1.05  8.585406  4.653923
 1.06  8.577001  4.648765
 1.07  8.568885  4.643837
 1.08  8.561045  4.639079
 1.09  8.553469  4.634492
 1.10  8.546136  4.630055
 1.11  8.539031  4.625762
 1.12  8.532142  4.621660
 1.13  8.525465  4.617642
 1.14  8.518974  4.613746
 1.15  8.512682  4.610021
 1.16  8.506551  4.606344
 1.17  8.500594  4.602800
 1.18  8.494795  4.599353
 1.19  8.489156  4.596009
 1.20  8.483660  4.592721
 1.21  8.478301  4.589496
 1.22  8.473083  4.586334
 1.23  8.467997  4.583279
 1.24  8.463029  4.580249
 1.25  8.458180  4.577282
 1.26  8.453450  4.574343
 1.27  8.448826  4.571474
 1.28  8.444315  4.568630
 1.29  8.439895  4.565854
 1.30  8.435578  4.563061
 1.31  8.431401  4.560381
 1.32  8.427263  4.557668
 1.33  8.423219  4.555000
 1.34  8.419252  4.552370
 1.35  8.415418  4.549822
 1.36  8.411614  4.547274
 1.37  8.407929  4.544804
 1.38  8.404277  4.542332
 1.39  8.400739  4.539948
 1.40  8.397272  4.537603
 1.41  8.393825  4.535256
 1.42  8.390497  4.532992
 1.43  8.387226  4.530773
 1.44  8.383969  4.528550
 1.45  8.380816  4.526416
 1.46  8.377724  4.524314
 1.47  8.374683  4.522254
 1.48  8.371707  4.520228
 1.49  8.368774  4.518235
 1.50  8.365898  4.516277
 1.51  8.363078  4.514354
 1.52  8.360306  4.512456
 1.53  8.357571  4.510589
 1.54  8.354896  4.508748
 1.55  8.352260  4.506934
 1.56  8.349676  4.505147
 1.57  8.347133  4.503383
 1.58  8.344631  4.501642
 1.59  8.342173  4.499923
 1.60  8.339757  4.498229
 1.61  8.337429  4.496596
 1.62  8.335091  4.494943
 1.63  8.332799  4.493305
 1.64  8.330542  4.491692
 1.65  8.328363  4.490136
 1.66  8.326177  4.488552
 1.67  8.324028  4.486988
 1.68  8.321916  4.485434
 1.69  8.319884  4.483944
 1.70  8.317836  4.482421
 1.71  8.315827  4.480913
 1.72  8.313888  4.479460
 1.73  8.311933  4.477979
 1.74  8.310019  4.476509
 1.75  8.308177  4.475098
 1.76  8.306320  4.473651
 1.77  8.304536  4.472263
 1.78  8.302738  4.470843
 1.79  8.301002  4.469484
 1.80  8.299265  4.468088
 1.81  8.297547  4.466708
 1.82  8.295903  4.465385
 1.83  8.294247  4.464030
 1.84  8.292654  4.462730
 1.85  8.291038  4.461399
 1.86  8.289497  4.460125
 1.87  8.287933  4.458819
 1.88  8.286433  4.457570
 1.89  8.284966  4.456333
 1.90  8.283476  4.455066
 1.91  8.282051  4.453850
 1.92  8.280605  4.452610
 1.93  8.279223  4.451420
 1.94  8.277819  4.450200
 1.95  8.276481  4.449038
 1.96  8.275165  4.447889
 1.97  8.273828  4.446704
 1.98  8.272544  4.445577
 1.99  8.271240  4.444421
 2.00  8.270001  4.443311
 2.01  8.268786  4.442214
 2.02  8.267551  4.441084
 2.03  8.266370  4.440010
 2.04  8.265198  4.438946
 2.05  8.264008  4.437852
 2.06  8.262884  4.436811
 2.07  8.261771  4.435779
 2.08  8.260626  4.434718
 2.09  8.259549  4.433710
 2.10  8.258482  4.432717
 2.11  8.257398  4.431690
 2.12  8.256353  4.430715
 2.13  8.255348  4.429750
 2.14  8.254297  4.428751
 2.15  8.253315  4.427805
 2.16  8.252345  4.426875
 2.17  8.251343  4.425905
 2.18  8.250395  4.424994
 2.19  8.249474  4.424087
 2.20  8.248551  4.423190
 2.21  8.247611  4.422260
 2.22  8.246726  4.421383
 2.23  8.245854  4.420516
 2.24  8.244993  4.419659
 2.25  8.244103  4.418770
 2.26  8.243267  4.417928
 2.27  8.242445  4.417096
 2.28  8.241635  4.416274
 2.29  8.240794  4.415420
 2.30  8.239996  4.414614
 2.31  8.239224  4.413812
 2.32  8.238451  4.413021
 2.33  8.237648  4.412197
 2.34  8.236901  4.411421
 2.35  8.236167  4.410650
 2.36  8.235432  4.409889
 2.37  8.234667  4.409090
 2.38  8.233958  4.408346
 2.39  8.233249  4.407606
 2.40  8.232552  4.406877
 2.41  8.231855  4.406159
 2.42  8.231142  4.405403
 2.43  8.230457  4.404695
 2.44  8.229800  4.403998
 2.45  8.229142  4.403306
 2.46  8.228483  4.402626
 2.47  8.227795  4.401907
 2.48  8.227163  4.401237
 2.49  8.226531  4.400579
 2.50  8.225912  4.399925
 2.51  8.225292  4.399277
 2.52  8.224644  4.398597
 2.53  8.224037  4.397966
 2.54  8.223445  4.397339
 2.55  8.222851  4.396719
 2.56  8.222257  4.396110
 2.57  8.221634  4.395457
 2.58  8.221068  4.394859
 2.59  8.220501  4.394266
 2.60  8.219949  4.393679
 2.61  8.219396  4.393104
 2.62  8.218799  4.392485
 2.63  8.218259  4.391920
 2.64  8.217719  4.391356
 2.65  8.217193  4.390803
 2.66  8.216666  4.390249
 2.67  8.216154  4.389708
 2.68  8.215598  4.389129
 2.69  8.215100  4.388592
 2.70  8.214586  4.388068
 2.71  8.214102  4.387543
 2.72  8.213602  4.387030
 2.73  8.213117  4.386517
 2.74  8.212646  4.386015
 2.75  8.212116  4.385471
 2.76  8.211660  4.384975
 2.77  8.211188  4.384485
 2.78  8.210730  4.384001
 2.79  8.210272  4.383523
 2.80  8.209829  4.383050
 2.81  8.209342  4.382535
 2.82  8.208898  4.382074
 2.83  8.208454  4.381614
 2.84  8.208024  4.381152
 2.85  8.207594  4.380704
 2.86  8.207179  4.380261
 2.87  8.206764  4.379818
 2.88  8.206348  4.379381
 2.89  8.205888  4.378900
 2.90  8.205487  4.378475
 2.91  8.205085  4.378050
 2.92  8.204683  4.377631
 2.93  8.204297  4.377211
 2.94  8.203909  4.376805
 2.95  8.203522  4.376397
 2.96  8.203149  4.375996
 2.97  8.202734  4.375552
 2.98  8.202360  4.375157
 2.99  8.201987  4.374768
 3.00  8.201629  4.374385
 3.01  8.201271  4.374002
 3.02  8.200928  4.373632
 3.03  8.200569  4.373255
 3.04  8.200225  4.372891
 3.05  8.199897  4.372526
 3.06  8.199509  4.372125
 3.07  8.199181  4.371767
 3.08  8.198852  4.371415
 3.09  8.198538  4.371069
 3.10  8.198208  4.370723
 3.11  8.197894  4.370384
 3.12  8.197580  4.370044
 3.13  8.197281  4.369710
 3.14  8.196982  4.369383
 3.15  8.196683  4.369056
 3.16  8.196341  4.368692
 3.17  8.196041  4.368371
 3.18  8.195757  4.368057
 3.19  8.195473  4.367742
 3.20  8.195188  4.367433
 3.21  8.194904  4.367131
 3.22  8.194635  4.366829
 3.23  8.194366  4.366534
 3.24  8.194096  4.366238
 3.25  8.193827  4.365942
 3.26  8.193557  4.365653
 3.27  8.193303  4.365370
 3.28  8.193049  4.365087
 3.29  8.192752  4.364767
 3.30  8.192498  4.364490
 3.31  8.192259  4.364214
 3.32  8.192004  4.363943
 3.33  8.191766  4.363680
 3.34  8.191527  4.363416
 3.35  8.191303  4.363152
 3.36  8.191064  4.362894
 3.37  8.190841  4.362637
 3.38  8.190601  4.362386
 3.39  8.190377  4.362135
 3.40  8.190170  4.361884
 3.41  8.189946  4.361639
 3.42  8.189738  4.361394
 3.43  8.189514  4.361156
 3.44  8.189305  4.360918
 3.45  8.189054  4.360644
 3.46  8.188846  4.360412
 3.47  8.188653  4.360180
 3.48  8.188445  4.359955
 3.49  8.188252  4.359730
 3.50  8.188059  4.359505
 3.51  8.187867  4.359286
 3.52  8.187674  4.359068
 3.53  8.187481  4.358856
 3.54  8.187304  4.358644
 3.55  8.187110  4.358432
 3.56  8.186933  4.358219
 3.57  8.186756  4.358014
 3.58  8.186579  4.357808
 3.59  8.186402  4.357609
 3.60  8.186224  4.357410
 3.61  8.186063  4.357211
 3.62  8.185885  4.357019
 3.63  8.185724  4.356827
 3.64  8.185562  4.356634
 3.65  8.185401  4.356442
 3.66  8.185239  4.356256
 3.67  8.185034  4.356027
 3.68  8.184872  4.355848
 3.69  8.184727  4.355663
 3.70  8.184565  4.355483
 3.71  8.184419  4.355304
 3.72  8.184273  4.355132
 3.73  8.184111  4.354959
 3.74  8.183965  4.354787
 3.75  8.183836  4.354614
 3.76  8.183690  4.354449
 3.77  8.183544  4.354283
 3.78  8.183414  4.354117
 3.79  8.183268  4.353958
 3.80  8.183138  4.353792
 3.81  8.183008  4.353633
 3.82  8.182878  4.353474
 3.83  8.182748  4.353321
 3.84  8.182617  4.353162
 3.85  8.182487  4.353009
 3.86  8.182357  4.352864
 3.87  8.182227  4.352711
 3.88  8.182113  4.352566
 3.89  8.181983  4.352413
 3.90  8.181869  4.352274
 3.91  8.181755  4.352128
 3.92  8.181640  4.351983
 3.93  8.181526  4.351844
 3.94  8.181412  4.351705
 3.95  8.181298  4.351566
 3.96  8.181184  4.351433
 3.97  8.181070  4.351294
 3.98  8.180972  4.351162
 3.99  8.180857  4.351030
 4.00  8.180759  4.350905
 4.01  8.180645  4.350772
 4.02  8.180547  4.350647
 4.03  8.180449  4.350521
 4.04  8.180291  4.350353
 4.05  8.180193  4.350227
 4.06  8.180095  4.350102
 4.07  8.179997  4.349983
 4.08  8.179915  4.349865
 4.09  8.179817  4.349746
 4.10  8.179719  4.349627
 4.11  8.179637  4.349508
 4.12  8.179539  4.349397
 4.13  8.179457  4.349278
 4.14  8.179358  4.349166
 4.15  8.179276  4.349054
 4.16  8.179178  4.348949
 4.17  8.179096  4.348837
 4.18  8.179014  4.348732
 4.19  8.178932  4.348620
 4.20  8.178850  4.348515
 4.21  8.178768  4.348410
 4.22  8.178686  4.348312
 4.23  8.178604  4.348207
 4.24  8.178538  4.348109
 4.25  8.178456  4.348004
 4.26  8.178374  4.347906
 4.27  8.178308  4.347808
 4.28  8.178226  4.347716
 4.29  8.178160  4.347618
 4.30  8.178078  4.347520
 4.31  8.178013  4.347429
 4.32  8.177947  4.347337
 4.33  8.177865  4.347246
 4.34  8.177799  4.347155
 4.35  8.177733  4.347064
 4.36  8.177667  4.346979
 4.37  8.177601  4.346888
 4.38  8.177536  4.346804
 4.39  8.177470  4.346712
 4.40  8.177404  4.346628
 4.41  8.177338  4.346543
 4.42  8.177289  4.346466
 4.43  8.177223  4.346382
 4.44  8.177157  4.346297
 4.45  8.177108  4.346220
 4.46  8.177042  4.346135
 4.47  8.176992  4.346058
 4.48  8.176926  4.345980
 4.49  8.176877  4.345903
 4.50  8.176811  4.345825
 4.51  8.176762  4.345755
 4.52  8.176712  4.345677
 4.53  8.176646  4.345600
 4.54  8.176597  4.345529
 4.55  8.176547  4.345459
 4.56  8.176498  4.345388
 4.57  8.176448  4.345318
 4.58  8.176399  4.345247
 4.59  8.176349  4.345177
 4.60  8.176300  4.345106
 4.61  8.176250  4.345036
 4.62  8.176201  4.344972
 4.63  8.176151  4.344901
 4.64  8.176102  4.344838
 4.65  8.176052  4.344774
 4.66  8.176019  4.344711
 4.67  8.175970  4.344647
 4.68  8.175920  4.344584
 4.69  8.175887  4.344520
 4.70  8.175837  4.344456
 4.71  8.175788  4.344393
 4.72  8.175755  4.344336
 4.73  8.175705  4.344273
 4.74  8.175672  4.344216
 4.75  8.175639  4.344160
 4.76  8.175590  4.344096
 4.77  8.175557  4.344039
 4.78  8.175507  4.343983
 4.79  8.175474  4.343926
 4.80  8.175441  4.343869
 4.81  8.175408  4.343820
 4.82  8.175358  4.343763
 4.83  8.175325  4.343707
 4.84  8.175292  4.343657
 4.85  8.175259  4.343600
 4.86  8.175226  4.343551
 4.87  8.175193  4.343501
 4.88  8.175160  4.343445
 4.89  8.175127  4.343395
 4.90  8.175093  4.343345
 4.91  8.175060  4.343296
 4.92  8.175027  4.343246
 4.93  8.174994  4.343204
 4.94  8.174978  4.343154
 4.95  8.174945  4.343105
 4.96  8.174911  4.343062
 4.97  8.174878  4.343012
 4.98  8.174862  4.342970
 4.99  8.174829  4.342920
 5.00  8.174796  4.342878
 5.01  8.174779  4.342835
 5.02  8.174746  4.342792
 5.03  8.174713  4.342743
 5.04  8.174696  4.342700
 5.05  8.174663  4.342658
 5.06  8.174646  4.342622
 5.07  8.174613  4.342580
 5.08  8.174597  4.342537
