 t       A(O)      A(F)
 0.03  6.556646  2.456067
 0.04  7.100103  2.941153
 0.05  7.405051  3.230266
 0.06  7.600224  3.428345
 0.07  7.739753  3.573758
 0.08  7.848019  3.687256
 0.09  7.935508  3.779166
 0.10  8.007773  3.855268
 0.11  8.069187  3.922016
 0.12  8.122592  3.981247
 0.13  8.166696  4.031826
 0.14  8.206155  4.077645
 0.15  8.242408  4.119706
 0.16  8.275861  4.158426
 0.17  8.306627  4.193998
 0.18  8.335207  4.226910
 0.19  8.362342  4.256710
 0.20  8.388254  4.283120
 0.21  8.412444  4.307201
 0.22  8.434824  4.329700
 0.23  8.455684  4.350879
 0.24  8.475178  4.370921
 0.25  8.493479  4.389951
 0.26  8.510721  4.408065
 0.27  8.527061  4.425391
 0.28  8.542563  4.441957
 0.29  8.557256  4.457792
 0.30  8.571304  4.473032
 0.31  8.584738  4.487704
 0.32  8.597581  4.501830
 0.33  8.610108  4.516204
 0.34  8.622309  4.530610
 0.35  8.634139  4.544508
 0.36  8.645605  4.557938
 0.37  8.656740  4.570935
 0.38  8.667571  4.583526
 0.39  8.678111  4.595713
 0.40  8.688366  4.607547
 0.41  8.698359  4.619058
 0.42  8.708087  4.630215
 0.43  8.717576  4.641118
 0.44  8.726833  4.651705
 0.45  8.735857  4.662059
 0.46  8.744674  4.672128
 0.47  8.753276  4.681984
 0.48  8.761688  4.691578
 0.49  8.769902  4.700982
 0.50  8.777936  4.710145
 0.51  8.785813  4.719136
 0.52  8.793480  4.727899
 0.53  8.801027  4.736475
 0.54  8.808382  4.744874
 0.55  8.815587  4.753129
 0.56  8.822652  4.761248
 0.57  8.829615  4.769176
 0.58  8.836409  4.776980
 0.59  8.843071  4.784605
 0.60  8.849607  4.792111
 0.61  8.856023  4.799453
 0.62  8.862320  4.806660
 0.63  8.868506  4.813740
 0.64  8.874579  4.820692
 0.65  8.880547  4.827525
 0.66  8.886408  4.834238
 0.67  8.892171  4.840840
 0.68  8.897805  4.847333
