 t       A(O)      A(F)
 0.03  6.620641  2.513330
 0.04  7.182131  3.004691
 0.05  7.494294  3.297155
 0.06  7.688758  3.494491
 0.07  7.825011  3.636990
 0.08  7.928712  3.746300
 0.09  8.010099  3.832071
 0.10  8.076280  3.904618
 0.11  8.131700  3.967715
 0.12  8.175002  4.019516
 0.13  8.212506  4.065391
 0.14  8.246432  4.106804
 0.15  8.277174  4.144174
 0.16  8.304776  4.177641
 0.17  8.329875  4.207949
 0.18  8.353371  4.234666
 0.19  8.375481  4.257914
 0.20  8.395644  4.279275
 0.21  8.413709  4.299490
 0.22  8.429981  4.318683
 0.23  8.444717  4.336958
 0.24  8.458132  4.354360
 0.25  8.470337  4.370845
 0.26  8.481583  4.386538
 0.27  8.491890  4.401375
 0.28  8.501437  4.415499
 0.29  8.510238  4.428860
 0.30  8.518396  4.441565
 0.31  8.525934  4.453609
 0.32  8.532953  4.465085
 0.33  8.539495  4.476028
 0.34  8.545608  4.486481
 0.35  8.551329  4.496472
 0.36  8.556648  4.505987
 0.37  8.561644  4.515101
 0.38  8.566374  4.523973
 0.39  8.570912  4.532758
 0.40  8.575246  4.541237
 0.41  8.579365  4.549242
 0.42  8.583275  4.556834
 0.43  8.586999  4.564026
 0.44  8.590537  4.570898
 0.45  8.593906  4.577493
 0.46  8.597104  4.583779
 0.47  8.600157  4.589813
 0.48  8.603069  4.595599
 0.49  8.605853  4.601190
 0.50  8.608508  4.606626
 0.51  8.611056  4.611843
 0.52  8.613496  4.616917
 0.53  8.615828  4.621854
 0.54  8.618066  4.626622
 0.55  8.620216  4.631300
 0.56  8.622286  4.635820
 0.57  8.624270  4.640255
 0.58  8.626182  4.644572
 0.59  8.628018  4.648808
 0.60  8.629787  4.652899
 0.61  8.631493  4.656949
 0.62  8.633139  4.660929
 0.63  8.634728  4.664806
 0.64  8.636261  4.668647
 0.65  8.637744  4.672417
 0.66  8.639175  4.676127
 0.67  8.640556  4.679803
 0.68  8.641904  4.683454
 0.69  8.643204  4.687072
 0.70  8.644456  4.690722
 0.71  8.645686  4.694284
 0.72  8.646874  4.697881
 0.73  8.648031  4.701479
 0.74  8.649152  4.705079
 0.75  8.650247  4.708688
 0.76  8.651312  4.712325
 0.77  8.652347  4.715903
 0.78  8.653362  4.719519
 0.79  8.654343  4.723072
 0.80  8.655310  4.726538
 0.81  8.656259  4.729948
 0.82  8.657190  4.733273
 0.83  8.658113  4.736458
 0.84  8.659014  4.739529
 0.85  8.659912  4.742468
 0.86  8.660799  4.745269
 0.87  8.661668  4.747967
 0.88  8.662529  4.750508
 0.89  8.663374  4.752946
 0.90  8.664207  4.755258
 0.91  8.665033  4.757447
 0.92  8.665847  4.759515
 0.93  8.666655  4.761430
 0.94  8.667451  4.763199
 0.95  8.668241  4.764820
 0.96  8.669025  4.766270
 0.97  8.669792  4.767630
 0.98  8.670558  4.768877
 0.99  8.671308  4.770034
 1.00  8.672051  4.771080
 1.01  8.672724  4.771983
 1.02  8.663290  4.772874
 1.03  8.639352  4.758316
 1.04  8.615179  4.739499
 1.05  8.592929  4.722405
 1.06  8.572352  4.706837
 1.07  8.553231  4.692485
 1.08  8.535391  4.679250
 1.09  8.518696  4.666998
 1.10  8.503013  4.655604
 1.11  8.488238  4.644994
 1.12  8.474281  4.635039
 1.13  8.461074  4.625644
 1.14  8.448541  4.616842
 1.15  8.436616  4.608511
 1.16  8.425259  4.600636
 1.17  8.414429  4.593166
 1.18  8.404073  4.586083
 1.19  8.394171  4.579357
 1.20  8.384674  4.572886
 1.21  8.375572  4.566717
 1.22  8.366819  4.560820
 1.23  8.358387  4.555127
 1.24  8.350324  4.549687
 1.25  8.342544  4.544424
 1.26  8.334988  4.539289
 1.27  8.327747  4.534347
 1.28  8.320788  4.529589
 1.29  8.314015  4.524912
 1.30  8.307459  4.520347
 1.31  8.301148  4.515939
 1.32  8.295007  4.511589
 1.33  8.289094  4.507392
 1.34  8.283361  4.503289
 1.35  8.277804  4.499294
 1.36  8.272403  4.495388
 1.37  8.267165  4.491580
 1.38  8.262069  4.487858
 1.39  8.257122  4.484228
 1.40  8.252358  4.480727
 1.41  8.247682  4.477269
 1.42  8.243127  4.473896
 1.43  8.238741  4.470643
 1.44  8.234428  4.467423
 1.45  8.230278  4.464327
 1.46  8.226236  4.461306
 1.47  8.222262  4.458314
 1.48  8.218417  4.455429
 1.49  8.214691  4.452613
 1.50  8.211039  4.449858
 1.51  8.207453  4.447120
 1.52  8.203991  4.444477
 1.53  8.200626  4.441892
 1.54  8.197331  4.439361
 1.55  8.194122  4.436878
 1.56  8.191002  4.434445
 1.57  8.187941  4.432056
 1.58  8.184972  4.429707
 1.59  8.182108  4.427448
 1.60  8.179281  4.425192
 1.61  8.176518  4.422967
 1.62  8.173821  4.420784
 1.63  8.171192  4.418638
 1.64  8.168657  4.416567
 1.65  8.166150  4.414491
 1.66  8.163713  4.412448
 1.67  8.161314  4.410438
 1.68  8.159032  4.408500
 1.69  8.156764  4.406546
 1.70  8.154579  4.404670
 1.71  8.152410  4.402774
 1.72  8.150301  4.400901
 1.73  8.148279  4.399100
 1.74  8.146256  4.397281
 1.75  8.144339  4.395522
 1.76  8.142406  4.393751
 1.77  8.140580  4.392042
 1.78  8.138757  4.390315
 1.79  8.137006  4.388649
 1.80  8.135259  4.386960
 1.81  8.133603  4.385340
 1.82  8.131934  4.383697
 1.83  8.130340  4.382117
 1.84  8.128751  4.380514
 1.85  8.127237  4.378974
 1.86  8.125773  4.377456
 1.87  8.124280  4.375915
 1.88  8.122882  4.374432
 1.89  8.121454  4.372934
 1.90  8.120121  4.371494
 1.91  8.118823  4.370069
 1.92  8.117495  4.368630
 1.93  8.116246  4.367243
 1.94  8.115030  4.365885
 1.95  8.113787  4.364501
 1.96  8.112642  4.363175
 1.97  8.111493  4.361872
 1.98  8.110337  4.360543
 1.99  8.109259  4.359274
 2.00  8.108198  4.358028
 2.01  8.107111  4.356757
 2.02  8.106103  4.355538
 2.03  8.105092  4.354344
 2.04  8.104138  4.353161
 2.05  8.103139  4.351959
 2.06  8.102200  4.350811
 2.07  8.101279  4.349674
 2.08  8.100395  4.348554
 2.09  8.099466  4.347410
 2.10  8.098599  4.346314
 2.11  8.097749  4.345235
 2.12  8.096917  4.344175
 2.13  8.096061  4.343077
 2.14  8.095266  4.342033
 2.15  8.094470  4.341009
 2.16  8.093692  4.339996
 2.17  8.092890  4.338952
 2.18  8.092149  4.337956
 2.19  8.091407  4.336979
 2.20  8.090684  4.336014
 2.21  8.089980  4.335055
 2.22  8.089232  4.334072
 2.23  8.088526  4.333137
 2.24  8.087859  4.332215
 2.25  8.087191  4.331305
 2.26  8.086522  4.330401
 2.27  8.085829  4.329466
 2.28  8.085198  4.328588
 2.29  8.084567  4.327722
 2.30  8.083935  4.326862
 2.31  8.083322  4.326015
 2.32  8.082665  4.325123
 2.33  8.082071  4.324295
 2.34  8.081477  4.323465
 2.35  8.080881  4.322648
 2.36  8.080284  4.321838
 2.37  8.079708  4.321033
 2.38  8.079087  4.320191
 2.39  8.078530  4.319406
 2.40  8.077951  4.318627
 2.41  8.077392  4.317862
 2.42  8.076853  4.317102
 2.43  8.076250  4.316299
 2.44  8.075709  4.315559
 2.45  8.075168  4.314819
 2.46  8.074627  4.314084
 2.47  8.074084  4.313364
 2.48  8.073562  4.312650
 2.49  8.072996  4.311892
 2.50  8.072473  4.311191
 2.51  8.071970  4.310496
 2.52  8.071445  4.309808
 2.53  8.070941  4.309127
 2.54  8.070436  4.308452
 2.55  8.069888  4.307741
 2.56  8.069403  4.307087
 2.57  8.068918  4.306432
 2.58  8.068432  4.305784
 2.59  8.067945  4.305151
 2.60  8.067479  4.304524
 2.61  8.066970  4.303861
 2.62  8.066524  4.303240
 2.63  8.066078  4.302634
 2.64  8.065631  4.302035
 2.65  8.065184  4.301443
 2.66  8.064758  4.300857
 2.67  8.064332  4.300279
 2.68  8.063862  4.299665
 2.69  8.063434  4.299101
 2.70  8.063028  4.298536
 2.71  8.062621  4.297986
 2.72  8.062214  4.297444
 2.73  8.061827  4.296901
 2.74  8.061420  4.296364
 2.75  8.061054  4.295843
 2.76  8.060624  4.295279
 2.77  8.060237  4.294765
 2.78  8.059870  4.294250
 2.79  8.059504  4.293750
 2.80  8.059137  4.293250
 2.81  8.058791  4.292757
 2.82  8.058424  4.292272
 2.83  8.058077  4.291794
 2.84  8.057731  4.291315
 2.85  8.057363  4.290801
 2.86  8.057016  4.290337
 2.87  8.056690  4.289881
 2.88  8.056364  4.289425
 2.89  8.056038  4.288976
 2.90  8.055734  4.288534
 2.91  8.055407  4.288092
 2.92  8.055102  4.287658
 2.93  8.054797  4.287231
 2.94  8.054514  4.286804
 2.95  8.054165  4.286342
 2.96  8.053881  4.285930
 2.97  8.053575  4.285518
 2.98  8.053291  4.285113
 2.99  8.053028  4.284717
 3.00  8.052743  4.284319
 3.01  8.052458  4.283922
 3.02  8.052195  4.283540
 3.03  8.051932  4.283158
 3.04  8.051668  4.282776
 3.05  8.051405  4.282402
 3.06  8.051163  4.282035
 3.07  8.050878  4.281633
 3.08  8.050636  4.281274
 3.09  8.050394  4.280915
 3.10  8.050151  4.280571
 3.11  8.049931  4.280228
 3.12  8.049688  4.279884
 3.13  8.049468  4.279548
 3.14  8.049247  4.279220
 3.15  8.049048  4.278892
 3.16  8.048827  4.278572
 3.17  8.048628  4.278251
 3.18  8.048429  4.277939
 3.19  8.048230  4.277626
 3.20  8.048031  4.277321
 3.21  8.047831  4.277024
 3.22  8.047654  4.276727
 3.23  8.047434  4.276387
 3.24  8.047234  4.276098
 3.25  8.047079  4.275809
 3.26  8.046901  4.275528
 3.27  8.046724  4.275255
 3.28  8.046568  4.274982
 3.29  8.046390  4.274708
 3.30  8.046235  4.274443
 3.31  8.046079  4.274177
 3.32  8.045923  4.273920
 3.33  8.045767  4.273663
 3.34  8.045634  4.273405
 3.35  8.045478  4.273156
 3.36  8.045344  4.272914
 3.37  8.045211  4.272665
 3.38  8.045077  4.272431
 3.39  8.044943  4.272190
 3.40  8.044809  4.271956
 3.41  8.044675  4.271731
 3.42  8.044564  4.271506
 3.43  8.044430  4.271280
 3.44  8.044318  4.271054
 3.45  8.044207  4.270837
 3.46  8.044072  4.270628
 3.47  8.043961  4.270410
 3.48  8.043871  4.270209
 3.49  8.043760  4.270000
 3.50  8.043648  4.269799
 3.51  8.043515  4.269555
 3.52  8.043403  4.269353
 3.53  8.043314  4.269160
 3.54  8.043224  4.268967
 3.55  8.043135  4.268783
 3.56  8.043045  4.268589
 3.57  8.042956  4.268413
 3.58  8.042866  4.268228
 3.59  8.042776  4.268051
 3.60  8.042709  4.267874
 3.61  8.042619  4.267697
 3.62  8.042552  4.267529
 3.63  8.042462  4.267352
 3.64  8.042395  4.267192
 3.65  8.042328  4.267023
 3.66  8.042261  4.266863
 3.67  8.042193  4.266703
 3.68  8.042126  4.266542
 3.69  8.042059  4.266390
 3.70  8.041991  4.266230
 3.71  8.041924  4.266077
 3.72  8.041879  4.265934
 3.73  8.041812  4.265781
 3.74  8.041767  4.265638
 3.75  8.041699  4.265494
 3.76  8.041654  4.265350
 3.77  8.041609  4.265214
 3.78  8.041542  4.265079
 3.79  8.041497  4.264943
 3.80  8.041452  4.264808
 3.81  8.041407  4.264672
 3.82  8.041362  4.264545
 3.83  8.041317  4.264417
 3.84  8.041295  4.264290
 3.85  8.041250  4.264163
 3.86  8.041205  4.264044
 3.87  8.041182  4.263925
 3.88  8.041137  4.263806
 3.89  8.041092  4.263687
 3.90  8.041070  4.263568
 3.91  8.041047  4.263457
 3.92  8.041002  4.263347
 3.93  8.040980  4.263236
 3.94  8.040957  4.263126
 3.95  8.040935  4.263015
 3.96  8.040912  4.262913
 3.97  8.040867  4.262802
 3.98  8.040845  4.262700
 3.99  8.040822  4.262598
 4.00  8.040822  4.262495
 4.01  8.040800  4.262402
 4.02  8.040777  4.262299
 4.03  8.040755  4.262205
 4.04  8.040732  4.262112
 4.05  8.040732  4.262018
 4.06  8.040710  4.261932
 4.07  8.040687  4.261839
 4.08  8.040687  4.261753
 4.09  8.040665  4.261659
 4.10  8.040665  4.261574
 4.11  8.040642  4.261488
 4.12  8.040642  4.261403
 4.13  8.040642  4.261326
 4.14  8.040620  4.261241
 4.15  8.040620  4.261164
 4.16  8.040620  4.261087
 4.17  8.040620  4.261010
 4.18  8.040620  4.260933
 4.19  8.040620  4.260856
 4.20  8.040597  4.260779
 4.21  8.040597  4.260710
 4.22  8.040597  4.260642
 4.23  8.040597  4.260565
 4.24  8.040620  4.260496
 4.25  8.040620  4.260428
 4.26  8.040620  4.260368
 4.27  8.040620  4.260299
 4.28  8.040620  4.260231
 4.29  8.040642  4.260171
 4.30  8.040642  4.260111
 4.31  8.040685  4.260094
 4.32  8.040708  4.260034
 4.33  8.040708  4.259974
 4.34  8.040708  4.259914
 4.35  8.040730  4.259854
 4.36  8.040730  4.259802
 4.37  8.040753  4.259742
 4.38  8.040753  4.259691
 4.39  8.040775  4.259639
 4.40  8.040798  4.259579
 4.41  8.040798  4.259528
 4.42  8.040820  4.259485
 4.43  8.040820  4.259433
 4.44  8.040843  4.259382
 4.45  8.040865  4.259330
 4.46  8.040888  4.259287
 4.47  8.040910  4.259244
 4.48  8.040910  4.259193
 4.49  8.040933  4.259150
 4.50  8.040955  4.259107
 4.51  8.040978  4.259064
 4.52  8.041000  4.259021
 4.53  8.041023  4.258978
 4.54  8.041045  4.258944
 4.55  8.041068  4.258901
 4.56  8.041090  4.258858
 4.57  8.041113  4.258823
 4.58  8.041135  4.258789
 4.59  8.041158  4.258746
 4.60  8.041180  4.258712
 4.61  8.041203  4.258677
 4.62  8.041225  4.258643
 4.63  8.041248  4.258608
 4.64  8.041293  4.258574
 4.65  8.041315  4.258540
 4.66  8.041338  4.258514
 4.67  8.041360  4.258479
 4.68  8.041383  4.258445
 4.69  8.041428  4.258419
 4.70  8.041450  4.258385
 4.71  8.041473  4.258359
 4.72  8.041518  4.258333
 4.73  8.041540  4.258307
 4.74  8.041562  4.258281
 4.75  8.041607  4.258256
 4.76  8.041630  4.258230
 4.77  8.041675  4.258204
 4.78  8.041697  4.258178
 4.79  8.041742  4.258152
 4.80  8.041765  4.258126
 4.81  8.041810  4.258109
 4.82  8.041832  4.258083
 4.83  8.041877  4.258066
 4.84  8.041942  4.258083
 4.85  8.041987  4.258066
 4.86  8.042010  4.258040
 4.87  8.042055  4.258023
 4.88  8.042077  4.258006
 4.89  8.042122  4.257989
 4.90  8.042167  4.257971
 4.91  8.042189  4.257954
 4.92  8.042234  4.257937
 4.93  8.042279  4.257920
 4.94  8.042302  4.257902
 4.95  8.042347  4.257885
 4.96  8.042391  4.257868
 4.97  8.042414  4.257859
 4.98  8.042459  4.257842
 4.99  8.042504  4.257825
 5.00  8.042548  4.257816
 5.01  8.042571  4.257799
 5.02  8.042616  4.257790
 5.03  8.042661  4.257782
 5.04  8.042705  4.257764
 5.05  8.042750  4.257756
 5.06  8.042773  4.257747
 5.07  8.042817  4.257739
 5.08  8.042862  4.257721
 5.09  8.042907  4.257713
 5.10  8.042952  4.257704
 5.11  8.042997  4.257696
 5.12  8.043042  4.257687
 5.13  8.043086  4.257687
 5.14  8.043131  4.257678
 5.15  8.043153  4.257670
 5.16  8.043198  4.257661
 5.17  8.043243  4.257661
 5.18  8.043288  4.257652
 5.19  8.043333  4.257644
 5.20  8.043377  4.257644
 5.21  8.043422  4.257635
 5.22  8.043489  4.257635
 5.23  8.043534  4.257627
 5.24  8.043579  4.257627
 5.25  8.043667  4.257670
 5.26  8.043711  4.257670
 5.27  8.043756  4.257661
 5.28  8.043801  4.257661
 5.29  8.043845  4.257661
 5.30  8.043890  4.257661
 5.31  8.043935  4.257661
 5.32  8.044002  4.257661
 5.33  8.044047  4.257661
 5.34  8.044091  4.257661
 5.35  8.044136  4.257661
 5.36  8.044181  4.257661
 5.37  8.044248  4.257661
 5.38  8.044292  4.257670
 5.39  8.044337  4.257670
 5.40  8.044382  4.257670
 5.41  8.044426  4.257670
 5.42  8.044493  4.257678
 5.43  8.044538  4.257678
 5.44  8.044583  4.257687
 5.45  8.044627  4.257687
 5.46  8.044694  4.257695
 5.47  8.044739  4.257695
 5.48  8.044784  4.257704
 5.49  8.044851  4.257704
 5.50  8.044895  4.257713
 5.51  8.044940  4.257721
 5.52  8.045007  4.257721
 5.53  8.045051  4.257730
 5.54  8.045096  4.257739
 5.55  8.045163  4.257747
 5.56  8.045207  4.257747
 5.57  8.045252  4.257756
 5.58  8.045319  4.257764
 5.59  8.045363  4.257773
 5.60  8.045408  4.257782
 5.61  8.045475  4.257790
 5.62  8.045562  4.257842
 5.63  8.045629  4.257850
 5.64  8.045674  4.257859
 5.65  8.045718  4.257868
 5.66  8.045785  4.257876
 5.67  8.045830  4.257885
 5.68  8.045896  4.257894
 5.69  8.045941  4.257902
 5.70  8.045985  4.257911
 5.71  8.046052  4.257928
 5.72  8.046097  4.257937
 5.73  8.046163  4.257945
 5.74  8.046208  4.257954
 5.75  8.046275  4.257971
 5.76  8.046319  4.257980
 5.77  8.046386  4.257988
 5.78  8.046430  4.258006
 5.79  8.046475  4.258014
 5.80  8.046541  4.258031
 5.81  8.046586  4.258040
 5.82  8.046653  4.258049
 5.83  8.046697  4.258066
 5.84  8.046764  4.258074
 5.85  8.046808  4.258092
 5.86  8.046875  4.258100
 5.87  8.046919  4.258118
 5.88  8.046986  4.258126
 5.89  8.047030  4.258143
 5.90  8.047097  4.258161
 5.91  8.047141  4.258169
 5.92  8.047208  4.258186
 5.93  8.047252  4.258195
 5.94  8.047319  4.258212
 5.95  8.047363  4.258230
 5.96  8.047430  4.258238
 5.97  8.047474  4.258255
 5.98  8.047583  4.258316
 5.99  8.047628  4.258333
 6.00  8.047694  4.258341
 6.01  8.047739  4.258359
 6.02  8.047805  4.258376
 6.03  8.047849  4.258393
 6.04  8.047916  4.258410
 6.05  8.047960  4.258419
 6.06  8.048027  4.258436
 6.07  8.048093  4.258453
 6.08  8.048137  4.258470
 6.09  8.048204  4.258488
 6.10  8.048248  4.258505
 6.11  8.048315  4.258522
 6.12  8.048359  4.258539
 6.13  8.048425  4.258548
 6.14  8.048469  4.258565
 6.15  8.048536  4.258582
 6.16  8.048580  4.258600
 6.17  8.048647  4.258617
 6.18  8.048691  4.258634
 6.19  8.048757  4.258651
 6.20  8.048801  4.258668
 6.21  8.048868  4.258686
 6.22  8.048934  4.258703
 6.23  8.048978  4.258720
 6.24  8.049044  4.258737
 6.25  8.049089  4.258754
 6.26  8.049155  4.258780
 6.27  8.049199  4.258797
 6.28  8.049265  4.258815
 6.29  8.049310  4.258832
 6.30  8.049376  4.258849
 6.31  8.049420  4.258866
 6.32  8.049486  4.258883
 6.33  8.049530  4.258901
 6.34  8.049597  4.258918
 6.35  8.049684  4.258987
 6.36  8.049750  4.259004
 6.37  8.049816  4.259021
 6.38  8.049860  4.259038
 6.39  8.049926  4.259055
 6.40  8.049971  4.259073
 6.41  8.050037  4.259098
 6.42  8.050081  4.259116
 6.43  8.050147  4.259133
 6.44  8.050191  4.259150
 6.45  8.050257  4.259176
 6.46  8.050301  4.259193
 6.47  8.050367  4.259210
 6.48  8.050411  4.259227
 6.49  8.050478  4.259244
 6.50  8.050522  4.259270
 6.51  8.050588  4.259287
 6.52  8.050654  4.259305
 6.53  8.050698  4.259330
 6.54  8.050764  4.259348
 6.55  8.050808  4.259365
 6.56  8.050874  4.259382
 6.57  8.050918  4.259408
 6.58  8.050984  4.259425
 6.59  8.051028  4.259442
 6.60  8.051094  4.259468
 6.61  8.051138  4.259485
 6.62  8.051204  4.259502
 6.63  8.051248  4.259528
 6.64  8.051314  4.259545
 6.65  8.051358  4.259571
 6.66  8.051424  4.259588
 6.67  8.051468  4.259605
 6.68  8.051534  4.259631
 6.69  8.051578  4.259648
 6.70  8.051644  4.259665
 6.71  8.051709  4.259691
 6.72  8.051796  4.259751
 6.73  8.051862  4.259777
 6.74  8.051906  4.259794
 6.75  8.051972  4.259811
 6.76  8.052016  4.259837
 6.77  8.052082  4.259854
 6.78  8.052126  4.259880
 6.79  8.052192  4.259897
 6.80  8.052235  4.259923
 6.81  8.052301  4.259940
 6.82  8.052345  4.259966
 6.83  8.052411  4.259983
 6.84  8.052455  4.260000
 6.85  8.052521  4.260026
 6.86  8.052565  4.260043
 6.87  8.052630  4.260069
 6.88  8.052674  4.260086
 6.89  8.052740  4.260112
 6.90  8.052784  4.260129
 6.91  8.052849  4.260154
 6.92  8.052893  4.260172
 6.93  8.052959  4.260197
 6.94  8.053003  4.260214
 6.95  8.053069  4.260240
 6.96  8.053112  4.260257
 6.97  8.053178  4.260283
 6.98  8.053222  4.260300
 6.99  8.053287  4.260326
 7.00  8.053331  4.260343
 7.01  8.053397  4.260369
 7.02  8.053441  4.260386
 7.03  8.053506  4.260412
 7.04  8.053550  4.260429
 7.05  8.053616  4.260454
 7.06  8.053659  4.260472
 7.07  8.053725  4.260497
 7.08  8.053769  4.260514
 7.09  8.053834  4.260540
 7.10  8.053921  4.260600
 7.11  8.053987  4.260626
 7.12  8.054030  4.260652
 7.13  8.054096  4.260669
 7.14  8.054140  4.260695
 7.15  8.054205  4.260712
 7.16  8.054249  4.260737
 7.17  8.054293  4.260754
 7.18  8.054358  4.260780
 7.19  8.054402  4.260797
 7.20  8.054467  4.260823
 7.21  8.054511  4.260840
 7.22  8.054576  4.260866
 7.23  8.054620  4.260883
 7.24  8.054686  4.260909
 7.25  8.054729  4.260926
 7.26  8.054795  4.260951
 7.27  8.054838  4.260977
 7.28  8.054904  4.260994
 7.29  8.054947  4.261020
 7.30  8.054991  4.261037
 7.31  8.055056  4.261063
 7.32  8.055100  4.261080
 7.33  8.055165  4.261105
 7.34  8.055209  4.261123
 7.35  8.055274  4.261148
 7.36  8.055318  4.261165
 7.37  8.055383  4.261191
 7.38  8.055427  4.261217
 7.39  8.055470  4.261234
 7.40  8.055536  4.261259
 7.41  8.055579  4.261277
 7.42  8.055645  4.261302
 7.43  8.055688  4.261319
 7.44  8.055753  4.261345
 7.45  8.055797  4.261362
 7.46  8.055841  4.261388
 7.47  8.055906  4.261413
 7.48  8.055949  4.261431
 7.49  8.056015  4.261456
 7.50  8.056101  4.261516
 7.51  8.056145  4.261542
 7.52  8.056210  4.261559
 7.53  8.056253  4.261585
 7.54  8.056319  4.261602
 7.55  8.056362  4.261627
 7.56  8.056406  4.261645
 7.57  8.056471  4.261670
 7.58  8.056514  4.261696
 7.59  8.056579  4.261713
 7.60  8.056623  4.261739
 7.61  8.056666  4.261756
 7.62  8.056732  4.261781
 7.63  8.056775  4.261798
 7.64  8.056840  4.261824
 7.65  8.056884  4.261841
 7.66  8.056927  4.261867
 7.67  8.056992  4.261892
 7.68  8.057035  4.261909
 7.69  8.057101  4.261935
 7.70  8.057144  4.261952
 7.71  8.057187  4.261978
 7.72  8.057253  4.261995
 7.73  8.057296  4.262020
 7.74  8.057339  4.262038
 7.75  8.057404  4.262063
 7.76  8.057448  4.262089
 7.77  8.057491  4.262106
 7.78  8.057556  4.262131
 7.79  8.057599  4.262149
 7.80  8.057665  4.262174
 7.81  8.057708  4.262191
 7.82  8.057751  4.262217
 7.83  8.057816  4.262234
 7.84  8.057860  4.262260
 7.85  8.057903  4.262277
 7.86  8.057968  4.262302
 7.87  8.058011  4.262319
 7.88  8.058054  4.262345
 7.89  8.058119  4.262370
 7.90  8.058163  4.262388
 7.91  8.058249  4.262456
 7.92  8.058314  4.262473
 7.93  8.058357  4.262499
 7.94  8.058401  4.262516
 7.95  8.058465  4.262541
 7.96  8.058509  4.262559
 7.97  8.058552  4.262584
 7.98  8.058617  4.262601
 7.99  8.058660  4.262627
 8.00  8.058703  4.262644
 8.01  8.058768  4.262669
 8.02  8.058812  4.262686
 8.03  8.058855  4.262712
 8.04  8.058920  4.262738
 8.05  8.058963  4.262755
 8.06  8.059006  4.262780
 8.07  8.059049  4.262797
 8.08  8.059114  4.262823
 8.09  8.059157  4.262840
 8.10  8.059200  4.262866
 8.11  8.059265  4.262883
 8.12  8.059308  4.262908
 8.13  8.059352  4.262925
 8.14  8.059416  4.262951
 8.15  8.059460  4.262968
 8.16  8.059503  4.262993
 8.17  8.059546  4.263010
 8.18  8.059611  4.263036
 8.19  8.059654  4.263053
 8.20  8.059697  4.263079
 8.21  8.059740  4.263096
 8.22  8.059805  4.263121
 8.23  8.059848  4.263138
 8.24  8.059891  4.263164
 8.25  8.059956  4.263181
 8.26  8.059999  4.263206
 8.27  8.060042  4.263223
 8.28  8.060085  4.263249
 8.29  8.060150  4.263266
 8.30  8.060193  4.263292
 8.31  8.060236  4.263309
 8.32  8.060279  4.263334
 8.33  8.060344  4.263351
 8.34  8.060387  4.263377
 8.35  8.060473  4.263437
 8.36  8.060516  4.263462
 8.37  8.060581  4.263479
 8.38  8.060624  4.263505
 8.39  8.060667  4.263522
 8.40  8.060710  4.263547
 8.41  8.060774  4.263564
 8.42  8.060817  4.263590
 8.43  8.060861  4.263607
 8.44  8.060904  4.263633
 8.45  8.060968  4.263650
 8.46  8.061011  4.263667
 8.47  8.061054  4.263692
 8.48  8.061097  4.263709
 8.49  8.061140  4.263735
 8.50  8.061205  4.263752
 8.51  8.061248  4.263777
 8.52  8.061291  4.263794
 8.53  8.061334  4.263820
 8.54  8.061377  4.263837
 8.55  8.061441  4.263862
 8.56  8.061484  4.263879
 8.57  8.061527  4.263905
 8.58  8.061570  4.263922
 8.59  8.061635  4.263939
 8.60  8.061678  4.263964
 8.61  8.061720  4.263981
 8.62  8.061763  4.264007
 8.63  8.061806  4.264024
 8.64  8.061849  4.264049
 8.65  8.061914  4.264066
