 t       A(O)      A(F)
 0.03  6.730574  2.633296
 0.04  7.266876  3.115602
 0.05  7.568932  3.408230
 0.06  7.762098  3.606959
 0.07  7.901109  3.752612
 0.08  8.008602  3.865628
 0.09  8.094128  3.956166
 0.10  8.165108  4.033905
 0.11  8.220767  4.097803
 0.12  8.269396  4.154432
 0.13  8.313335  4.205500
 0.14  8.353109  4.251396
 0.15  8.390157  4.291436
 0.16  8.425016  4.325203
 0.17  8.456930  4.354755
 0.18  8.485821  4.381550
 0.19  8.512294  4.406212
 0.20  8.536663  4.429100
 0.21  8.559247  4.450480
 0.22  8.580334  4.470581
 0.23  8.600105  4.489541
 0.24  8.618877  4.508053
 0.25  8.637013  4.527089
 0.26  8.654479  4.545956
 0.27  8.671245  4.564012
 0.28  8.687395  4.581332
 0.29  8.702975  4.597984
 0.30  8.718020  4.614000
 0.31  8.732564  4.629473
 0.32  8.746628  4.644393
 0.33  8.760248  4.658802
 0.34  8.773444  4.672771
 0.35  8.786248  4.686318
 0.36  8.798690  4.699406
 0.37  8.810756  4.712132
 0.38  8.822495  4.724537
 0.39  8.833896  4.736647
 0.40  8.845041  4.748437
 0.41  8.855878  4.759905
 0.42  8.866419  4.771063
 0.43  8.876712  4.781953
 0.44  8.886769  4.792562
 0.45  8.896571  4.802933
 0.46  8.906158  4.813073
 0.47  8.915539  4.822966
 0.48  8.924690  4.832625
 0.49  8.933658  4.842086
 0.50  8.942444  4.851332
 0.51  8.951057  4.860392
 0.52  8.959476  4.869280
 0.53  8.967706  4.877953
 0.54  8.975811  4.886485
 0.55  8.983798  4.894821
 0.56  8.991673  4.903139
 0.57  8.999406  4.911265
 0.58  9.006976  4.919249
 0.59  9.014394  4.927079
 0.60  9.021715  4.934760
 0.61  9.028884  4.942290
 0.62  9.035914  4.949702
 0.63  9.042835  4.956979
 0.64  9.049644  4.964142
 0.65  9.056347  4.971192
 0.66  9.062925  4.978121
 0.67  9.069403  4.984927
 0.68  9.075788  4.991655
 0.69  9.082077  4.998266
 0.70  9.088251  5.004764
 0.71  9.094344  5.011196
 0.72  9.100345  5.017532
 0.73  9.106265  5.023769
 0.74  9.112086  5.029941
 0.75  9.117847  5.036029
 0.76  9.123508  5.042036
 0.77  9.129102  5.047957
 0.78  9.134616  5.053811
 0.79  9.140061  5.059594
 0.80  9.145440  5.065308
 0.81  9.150729  5.070950
 0.82  9.155974  5.076526
 0.83  9.161133  5.082018
 0.84  9.166231  5.087448
 0.85  9.171285  5.092826
 0.86  9.176262  5.098131
 0.87  9.181178  5.103358
 0.88  9.186058  5.108543
 0.89  9.190860  5.113654
 0.90  9.195609  5.118711
 0.91  9.200307  5.123715
 0.92  9.204950  5.128650
 0.93  9.209556  5.133542
 0.94  9.214096  5.138359
 0.95  9.218584  5.143123
 0.96  9.223043  5.147840
 0.97  9.227433  5.152494
 0.98  9.231779  5.157103
 0.99  9.236094  5.161663
 1.00  9.240365  5.166167
 1.01  9.244447  5.170487
 1.02  9.240621  5.175479
 1.03  9.232506  5.168232
 1.04  9.224659  5.161123
 1.05  9.217069  5.154291
 1.06  9.209722  5.147708
 1.07  9.202624  5.141362
 1.08  9.195735  5.135228
 1.09  9.189063  5.129285
 1.10  9.182591  5.123534
 1.11  9.176295  5.117931
 1.12  9.170179  5.112508
 1.13  9.164221  5.107232
 1.14  9.158431  5.102110
 1.15  9.152773  5.097135
 1.16  9.147288  5.092288
 1.17  9.141919  5.087575
 1.18  9.136712  5.082982
 1.19  9.131607  5.078499
 1.20  9.126620  5.074118
 1.21  9.121785  5.069850
 1.22  9.117036  5.065664
 1.23  9.112393  5.061571
 1.24  9.107863  5.057562
 1.25  9.103449  5.053625
 1.26  9.099122  5.049765
 1.27  9.094872  5.045979
 1.28  9.090740  5.042247
 1.29  9.086679  5.038582
 1.30  9.082696  5.034990
 1.31  9.078815  5.031455
 1.32  9.075015  5.027979
 1.33  9.071289  5.024553
 1.34  9.067624  5.021188
 1.35  9.064045  5.017885
 1.36  9.060520  5.014636
 1.37  9.057084  5.011433
 1.38  9.053710  5.008290
 1.39  9.050394  5.005204
 1.40  9.047147  5.002150
 1.41  9.043960  4.999153
 1.42  9.040840  4.996204
 1.43  9.037763  4.993301
 1.44  9.034753  4.990445
 1.45  9.031784  4.987634
 1.46  9.028880  4.984867
 1.47  9.026022  4.982132
 1.48  9.023210  4.979447
 1.49  9.020467  4.976809
 1.50  9.017768  4.974199
 1.51  9.015087  4.971638
 1.52  9.012482  4.969111
 1.53  9.009922  4.966633
 1.54  9.007383  4.964186
 1.55  9.004921  4.961775
 1.56  9.002481  4.959396
 1.57  9.000056  4.957045
 1.58  8.997713  4.954731
 1.59  8.995392  4.952470
 1.60  8.993093  4.950223
 1.61  8.990867  4.948006
 1.62  8.988642  4.945828
 1.63  8.986469  4.943684
 1.64  8.984348  4.941577
 1.65  8.982246  4.939500
 1.66  8.980175  4.937445
 1.67  8.978124  4.935421
 1.68  8.976127  4.933415
 1.69  8.974156  4.931445
 1.70  8.972206  4.929509
 1.71  8.970288  4.927595
 1.72  8.968422  4.925715
 1.73  8.966582  4.923854
 1.74  8.964742  4.922031
 1.75  8.962953  4.920223
 1.76  8.961193  4.918434
 1.77  8.959461  4.916684
 1.78  8.957724  4.914950
 1.79  8.956046  4.913256
 1.80  8.954396  4.911583
 1.81  8.952772  4.909925
 1.82  8.951148  4.908287
 1.83  8.949579  4.906687
 1.84  8.948010  4.905108
 1.85  8.946467  4.903545
 1.86  8.944954  4.902003
 1.87  8.943473  4.900483
 1.88  8.942018  4.898980
 1.89  8.940564  4.897521
 1.90  8.939137  4.896057
 1.91  8.937737  4.894632
 1.92  8.936374  4.893235
 1.93  8.935003  4.891829
 1.94  8.933664  4.890468
 1.95  8.932353  4.889103
 1.96  8.931043  4.887783
 1.97  8.929766  4.886464
 1.98  8.928513  4.885182
 1.99  8.927262  4.883901
 2.00  8.926044  4.882644
 2.01  8.924824  4.881406
 2.02  8.923632  4.880187
 2.03  8.922475  4.878992
 2.04  8.921315  4.877795
 2.05  8.920185  4.876640
 2.06  8.919057  4.875487
 2.07  8.917926  4.874331
 2.08  8.916858  4.873218
 2.09  8.915760  4.872107
 2.10  8.914692  4.871017
 2.11  8.913659  4.869952
 2.12  8.912619  4.868880
 2.13  8.911615  4.867833
 2.14  8.910609  4.866807
 2.15  8.909605  4.865783
 2.16  8.908633  4.864781
 2.17  8.907659  4.863800
 2.18  8.906716  4.862816
 2.19  8.905776  4.861836
 2.20  8.904834  4.860900
 2.21  8.903924  4.859963
 2.22  8.903045  4.859024
 2.23  8.902137  4.858111
 2.24  8.901260  4.857219
 2.25  8.900416  4.856327
 2.26  8.899536  4.855432
 2.27  8.898693  4.854588
 2.28  8.897883  4.853719
 2.29  8.897037  4.852872
 2.30  8.896224  4.852047
 2.31  8.895448  4.851226
 2.32  8.894633  4.850399
 2.33  8.893855  4.849598
 2.34  8.893075  4.848821
 2.35  8.892329  4.848018
 2.36  8.891586  4.847266
 2.37  8.890838  4.846485
 2.38  8.890093  4.845731
 2.39  8.889347  4.844976
 2.40  8.888634  4.844244
 2.41  8.887920  4.843511
 2.42  8.887206  4.842801
 2.43  8.886529  4.842071
 2.44  8.885813  4.841383
 2.45  8.885134  4.840675
 2.46  8.884455  4.839990
 2.47  8.883810  4.839304
 2.48  8.883129  4.838617
 2.49  8.882486  4.837958
 2.50  8.881839  4.837294
 2.51  8.881195  4.836658
 2.52  8.880550  4.835996
 2.53  8.879939  4.835359
 2.54  8.879328  4.834745
 2.55  8.878716  4.834105
 2.56  8.878103  4.833490
 2.57  8.877490  4.832874
 2.58  8.876915  4.832286
 2.59  8.876305  4.831673
 2.60  8.875725  4.831079
 2.61  8.875149  4.830514
