 t       A(O)      A(F)
 0.03  6.508587  2.701160
 0.04  7.062175  3.355935
 0.05  7.369972  3.682053
 0.06  7.565760  3.827122
 0.07  7.705309  3.898975
 0.08  7.813321  3.940312
 0.09  7.900871  3.965110
 0.10  7.974153  3.982480
 0.11  8.037003  4.002204
 0.12  8.091899  4.026508
 0.13  8.140584  4.053444
 0.14  8.181653  4.078898
 0.15  8.218722  4.105117
 0.16  8.252959  4.131735
 0.17  8.284821  4.158276
 0.18  8.314437  4.184277
 0.19  8.341931  4.209509
 0.20  8.367796  4.234178
 0.21  8.392609  4.257759
 0.22  8.416211  4.280273
 0.23  8.438074  4.301760
 0.24  8.458323  4.322328
 0.25  8.477146  4.342061
 0.26  8.494723  4.361006
 0.27  8.511198  4.379221
 0.28  8.526696  4.396762
 0.29  8.541339  4.413661
 0.30  8.555206  4.429970
 0.31  8.568418  4.445768
 0.32  8.580956  4.461007
 0.33  8.592917  4.475753
 0.34  8.604395  4.490091
 0.35  8.615341  4.503948
 0.36  8.625960  4.517708
 0.37  8.636327  4.531175
 0.38  8.646434  4.544210
 0.39  8.656276  4.556833
 0.40  8.665860  4.569056
 0.41  8.675204  4.580971
 0.42  8.684323  4.592506
 0.43  8.693220  4.603724
 0.44  8.701908  4.614672
 0.45  8.710396  4.625301
 0.46  8.718686  4.635687
 0.47  8.726788  4.645814
 0.48  8.734706  4.655724
 0.49  8.742456  4.665397
 0.50  8.750039  4.674838
 0.51  8.757458  4.684092
 0.52  8.764721  4.693137
 0.53  8.771852  4.701978
 0.54  8.778792  4.710658
 0.55  8.785631  4.719148
 0.56  8.792331  4.727456
 0.57  8.798905  4.735628
 0.58  8.805303  4.743625
 0.59  8.811624  4.751467
 0.60  8.817818  4.759175
 0.61  8.823902  4.766739
 0.62  8.829870  4.774155
 0.63  8.835763  4.781429
 0.64  8.841518  4.788599
 0.65  8.847162  4.795631
 0.66  8.852712  4.802541
 0.67  8.858197  4.809351
 0.68  8.863547  4.816038
 0.69  8.868842  4.822611
 0.70  8.874013  4.829072
 0.71  8.879132  4.835450
 0.72  8.884162  4.841741
 0.73  8.889071  4.847926
 0.74  8.893938  4.854016
 0.75  8.898722  4.860027
 0.76  8.903425  4.865962
 0.77  8.908058  4.871809
