 t       A(O)      A(F)
 0.03  7.061964 -1.183657
 0.04  7.452253 -0.816353
 0.05  7.688698  0.942358
 0.06  7.839532  1.412596
 0.07  7.951874  1.668063
 0.08  8.035684  2.001446
 0.09  8.102363  2.278100
 0.10  8.158025  2.482925
 0.11  8.203884  2.635594
 0.12  8.244055  2.758323
 0.13  8.280177  2.860103
 0.14  8.312923  2.946684
 0.15  8.342634  3.021182
 0.16  8.369897  3.086431
 0.17  8.395880  3.146602
 0.18  8.420434  3.202991
 0.19  8.443423  3.255931
 0.20  8.464904  3.305574
 0.21  8.485028  3.352030
 0.22  8.503938  3.395537
 0.23  8.521712  3.436301
 0.24  8.538541  3.474667
 0.25  8.554480  3.510814
 0.26  8.569601  3.544946
 0.27  8.583930  3.577220
 0.28  8.597622  3.607904
 0.29  8.610643  3.637040
 0.30  8.623079  3.664862
 0.31  8.635041  3.691541
 0.32  8.646469  3.717129
 0.33  8.657433  3.741673
 0.34  8.667933  3.765226
 0.35  8.678023  3.787857
 0.36  8.687723  3.809644
 0.37  8.697061  3.830604
 0.38  8.706049  3.850821
 0.39  8.714714  3.870333
 0.40  8.723079  3.889212
 0.41  8.731154  3.907483
 0.42  8.738955  3.925225
 0.43  8.746503  3.942475
 0.44  8.753804  3.959237
 0.45  8.760871  3.975545
 0.46  8.767701  3.991409
 0.47  8.774354  4.006839
 0.48  8.780789  4.021881
 0.49  8.787047  4.036501
 0.50  8.793102  4.050763
 0.51  8.798997  4.064653
 0.52  8.804696  4.078205
 0.53  8.810285  4.091423
 0.54  8.815694  4.104329
 0.55  8.820961  4.116921
 0.56  8.826091  4.129217
 0.57  8.831055  4.141223
 0.58  8.835927  4.152937
 0.59  8.840673  4.164374
 0.60  8.845300  4.175552
 0.61  8.849771  4.186478
 0.62  8.854162  4.197153
 0.63  8.858443  4.207594
 0.64  8.862612  4.217815
 0.65  8.866712  4.227822
 0.66  8.870670  4.237637
 0.67  8.874558  4.247250
 0.68  8.878348  4.256692
 0.69  8.882042  4.265977
 0.70  8.885670  4.275081
 0.71  8.889202  4.284053
 0.72  8.892677  4.292893
 0.73  8.896029  4.301598
 0.74  8.899355  4.310191
 0.75  8.902594  4.318665
 0.76  8.905745  4.327003
 0.77  8.908844  4.335236
 0.78  8.911857  4.343335
 0.79  8.914820  4.351285
 0.80  8.917731  4.359074
 0.81  8.920563  4.366698
 0.82  8.923349  4.374156
 0.83  8.926085  4.381430
 0.84  8.928741  4.388526
 0.85  8.931383  4.395436
 0.86  8.933952  4.402179
 0.87  8.936443  4.408738
 0.88  8.938918  4.415125
 0.89  8.941352  4.421351
 0.90  8.943715  4.427409
 0.91  8.946063  4.433313
 0.92  8.948342  4.439059
 0.93  8.950577  4.444630
 0.94  8.952803  4.450020
 0.95  8.954987  4.455263
 0.96  8.957194  4.460373
 0.97  8.959387  4.465340
 0.98  8.961599  4.470193
 0.99  8.963830  4.474931
 1.00  8.966051  4.479562
 1.01  8.968169  4.483881
 1.02  8.957074  4.478463
 1.03  8.945189  4.472063
 1.04  8.933826  4.466006
 1.05  8.923006  4.460572
 1.06  8.912634  4.455557
 1.07  8.902749  4.450911
