 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.010000  7.028276
 0.02 -8.000000 -8.000000  0.029048  6.958115
 0.03  6.791596  2.691031  0.046685  6.889464
 0.04  7.336016  3.176227  0.063051  6.822271
 0.05  7.642286  3.472193  0.078266  6.756486
 0.06  7.836270  3.672159  0.092414  6.692064
 0.07  7.975474  3.818216  0.105560  6.628959
 0.08  8.081572  3.929810  0.117790  6.567130
 0.09  8.165932  4.021036  0.129140  6.506534
 0.10  8.231465  4.095800  0.139660  6.447134
 0.11  8.285726  4.159674  0.149390  6.388891
 0.12  8.333714  4.216404  0.158360  6.331771
 0.13  8.376838  4.266806  0.166630  6.275738
 0.14  8.417470  4.309151  0.174260  6.220761
 0.15  8.455150  4.344692  0.181290  6.166807
 0.16  8.489062  4.376678  0.187780  6.113846
 0.17  8.519504  4.406087  0.193740  6.061850
 0.18  8.547131  4.433524  0.199210  6.010790
 0.19  8.572396  4.459315  0.204220  5.960640
 0.20  8.595697  4.483671  0.208780  5.911374
 0.21  8.617318  4.506716  0.212930  5.862967
 0.22  8.637894  4.530094  0.216680  5.815396
 0.23  8.657603  4.553724  0.220050  5.768638
 0.24  8.676334  4.576260  0.223060  5.722670
 0.25  8.694220  4.597569  0.225730  5.677471
 0.26  8.711315  4.617724  0.228080  5.633022
 0.27  8.727686  4.636840  0.230130  5.589302
 0.28  8.743381  4.655107  0.231890  5.546292
 0.29  8.758451  4.672500  0.233380  5.503974
 0.30  8.772928  4.689185  0.234620  5.462330
 0.31  8.786904  4.705151  0.235620  5.421344
 0.32  8.800324  4.720508  0.236400  5.380998
 0.33  8.813271  4.735246  0.236960  5.341277
 0.34  8.825775  4.749467  0.237320  5.302165
 0.35  8.837851  4.763307  0.237500  5.263649
 0.36  8.849529  4.776655  0.237490  5.225712
 0.37  8.860870  4.789572  0.237320  5.188341
 0.38  8.871813  4.802048  0.236990  5.151524
 0.39  8.882456  4.814143  0.236520  5.115246
 0.40  8.892775  4.825873  0.235910  5.079496
 0.41  8.902791  4.837262  0.235170  5.044261
 0.42  8.912514  4.848299  0.234300  5.009529
 0.43  8.921956  4.859049  0.233330  4.975289
 0.44  8.931167  4.869507  0.232250  4.941529
 0.45  8.940120  4.879682  0.231080  4.908240
 0.46  8.948861  4.889614  0.229810  4.875410
 0.47  8.957340  4.899271  0.228460  4.843030
 0.48  8.965649  4.908703  0.227030  4.811089
 0.49  8.973716  4.917902  0.225520  4.779579
 0.50  8.981659  4.926899  0.223950  4.748490
 0.51  8.989456  4.935741  0.222320  4.717812
 0.52  8.997058  4.944452  0.220630  4.687538
 0.53  9.004494  4.952957  0.218900  4.657659
 0.54  9.011779  4.961255  0.217110  4.628167
 0.55  9.018857  4.969362  0.215290  4.599053
 0.56  9.025792  4.977291  0.213420  4.570310
 0.57  9.032586  4.985065  0.211520  4.541931
 0.58  9.039217  4.992651  0.209590  4.513908
 0.59  9.045721  5.000098  0.207630  4.486234
 0.60  9.052071  5.007402  0.205640  4.458901
 0.61  9.058303  5.014561  0.203630  4.431905
 0.62  9.064413  5.021586  0.201610  4.405236
