 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  8.879144
 0.02 -8.000000 -8.000000  0.014765  8.761870
 0.03  6.026512  1.919198  0.024171  8.648011
 0.04  6.585651  2.410439  0.033232  8.537410
 0.05  6.896683  2.687292  0.041964  8.429921
 0.06  7.096881  2.881777  0.050379  8.325406
 0.07  7.239623  3.027283  0.058487  8.223735
 0.08  7.349414  3.141122  0.066299  8.124787
 0.09  7.438056  3.233704  0.073824  8.028445
 0.10  7.512238  3.311421  0.081073  7.934604
 0.11  7.575823  3.378125  0.088053  7.843158
 0.12  7.631450  3.436501  0.094772  7.754014
 0.13  7.680790  3.488294  0.101240  7.667078
 0.14  7.724987  3.534708  0.107460  7.582265
 0.15  7.765042  3.576789  0.113450  7.499493
 0.16  7.801538  3.615116  0.119210  7.418684
 0.17  7.834936  3.650387  0.124740  7.339765
 0.18  7.865624  3.683431  0.130070  7.262666
 0.19  7.894152  3.714489  0.135180  7.187321
 0.20  7.920672  3.743741  0.140080  7.113666
 0.21  7.945514  3.771344  0.144800  7.041642
 0.22  7.968841  3.797484  0.149320  6.971191
 0.23  7.990859  3.822312  0.153650  6.902260
 0.24  8.011621  3.845861  0.157810  6.834796
 0.25  8.031288  3.868294  0.161790  6.768751
 0.26  8.049502  3.889299  0.165600  6.704076
 0.27  8.066741  3.909309  0.169250  6.640727
 0.28  8.083230  3.928502  0.172730  6.578661
 0.29  8.099048  3.946946  0.176060  6.517836
 0.30  8.114224  3.964683  0.179230  6.458214
 0.31  8.128847  3.981792  0.182260  6.399756
 0.32  8.142874  3.998253  0.185150  6.342428
 0.33  8.156402  4.014152  0.187890  6.286193
 0.34  8.169445  4.029514  0.190510  6.231020
 0.35  8.182051  4.044400  0.192990  6.176875
 0.36  8.194230  4.058802  0.195350  6.123730
 0.37  8.206008  4.072789  0.197580  6.071555
 0.38  8.217449  4.086390  0.199700  6.020321
 0.39  8.228460  4.099546  0.201700  5.970002
 0.40  8.239135  4.112322  0.203600  5.920571
 0.41  8.249491  4.124763  0.205380  5.872005
 0.42  8.259557  4.136876  0.207060  5.824278
 0.43  8.269348  4.148690  0.208640  5.777369
 0.44  8.278864  4.160219  0.210120  5.731254
 0.45  8.288118  4.171477  0.211510  5.685912
 0.46  8.297251  4.182387  0.212800  5.641324
 0.47  8.306161  4.192847  0.214010  5.597468
 0.48  8.314825  4.203066  0.215140  5.554326
 0.49  8.323208  4.213103  0.216180  5.511879
 0.50  8.331345  4.222967  0.217140  5.470110
 0.51  8.339266  4.232705  0.218030  5.429001
