 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  8.393552
 0.02 -8.000000 -8.000000  0.014765  8.290032
 0.03  6.415268  2.607837  0.024176  8.189313
 0.04  6.968765  3.262273  0.033255  8.091276
 0.05  7.276466  3.591764  0.042022  7.995809
 0.06  7.472774  3.745574  0.050493  7.902805
 0.07  7.613016  3.824313  0.058677  7.812163
 0.08  7.721248  3.871612  0.066586  7.723790
 0.09  7.809327  3.902502  0.074229  7.637596
 0.10  7.883072  3.922865  0.081614  7.553496
 0.11  7.946355  3.938660  0.088750  7.471409
 0.12  8.001732  3.957225  0.095646  7.391260
 0.13  8.050817  3.979288  0.102310  7.312977
 0.14  8.094926  4.003503  0.108740  7.236490
 0.15  8.134299  4.028225  0.114960  7.161734
 0.16  8.168953  4.052031  0.120950  7.088648
 0.17  8.200824  4.076151  0.126730  7.017173
 0.18  8.230627  4.100314  0.132310  6.947253
 0.19  8.258596  4.124289  0.137680  6.878833
 0.20  8.284856  4.147820  0.142860  6.811864
 0.21  8.309495  4.170664  0.147850  6.746296
 0.22  8.332728  4.192923  0.152660  6.682083
 0.23  8.354809  4.214661  0.157280  6.619182
 0.24  8.375988  4.235578  0.161740  6.557548
 0.25  8.396401  4.255604  0.166040  6.497143
 0.26  8.415643  4.274851  0.170180  6.437926
 0.27  8.433633  4.293341  0.174170  6.379862
 0.28  8.450513  4.311126  0.178020  6.322914
 0.29  8.466407  4.328283  0.181720  6.267049
 0.30  8.481436  4.344841  0.185290  6.212234
 0.31  8.495720  4.360886  0.188720  6.158438
 0.32  8.509253  4.376369  0.192020  6.105630
 0.33  8.522188  4.391406  0.195190  6.053783
 0.34  8.534502  4.405939  0.198240  6.002867
 0.35  8.546327  4.420086  0.201160  5.952857
 0.36  8.557615  4.433778  0.203970  5.903728
 0.37  8.568504  4.447128  0.206660  5.855454
 0.38  8.578930  4.460075  0.209240  5.808011
 0.39  8.589017  4.472721  0.211710  5.761378
 0.40  8.598748  4.485042  0.214070  5.715532
 0.41  8.608110  4.497028  0.216330  5.670453
 0.42  8.617223  4.508871  0.218490  5.626119
 0.43  8.626149  4.520577  0.220540  5.582511
 0.44  8.634904  4.531973  0.222500  5.539611
 0.45  8.643478  4.543077  0.224370  5.497400
 0.46  8.651857  4.553896  0.226140  5.455861
 0.47  8.660069  4.564436  0.227820  5.414976
 0.48  8.668110  4.574755  0.229410  5.374729
 0.49  8.675992  4.584851  0.230920  5.335105
 0.50  8.683716  4.594690  0.232350  5.296087
 0.51  8.691291  4.604326  0.233690  5.257662
 0.52  8.698729  4.613769  0.234960  5.219815
 0.53  8.706019  4.622983  0.236150  5.182532
 0.54  8.713181  4.632058  0.237260  5.145800
 0.55  8.720210  4.640925  0.238300  5.109606
 0.56  8.727109  4.649625  0.239280  5.073937
 0.57  8.733888  4.658202  0.240180  5.038782
 0.58  8.740547  4.666588  0.241020  5.004128
 0.59  8.747096  4.674799  0.241790  4.969964
 0.60  8.753528  4.682899  0.242490  4.936279
 0.61  8.759849  4.690859  0.243140  4.903062
 0.62  8.766073  4.698660  0.243720  4.870304
 0.63  8.772200  4.706332  0.244250  4.837993
 0.64  8.778189  4.713882  0.244720  4.806120
 0.65  8.784147  4.721315  0.245140  4.774677
 0.66  8.789946  4.728630  0.245500  4.743653
 0.67  8.795678  4.735835  0.245810  4.713039
 0.68  8.801349  4.742938  0.246080  4.682828
 0.69  8.806907  4.749900  0.246290  4.653010
 0.70  8.812368  4.756796  0.246460  4.623577
 0.71  8.817769  4.763566  0.246580  4.594522
 0.72  8.823070  4.770266  0.246650  4.565837
 0.73  8.828315  4.776848  0.246690  4.537514
 0.74  8.833467  4.783368  0.246680  4.509546
 0.75  8.838567  4.789775  0.246630  4.481926
 0.76  8.843575  4.796120  0.246540  4.454646
 0.77  8.848537  4.802362  0.246410  4.427702
 0.78  8.853374  4.808547  0.246250  4.401084
 0.79  8.858201  4.814629  0.246050  4.374789
 0.80  8.862947  4.820660  0.245820  4.348808
 0.81  8.867610  4.826590  0.245560  4.323137
 0.82  8.872234  4.832453  0.245260  4.297769
 0.83  8.876778  4.838242  0.244930  4.272698
 0.84  8.881248  4.843941  0.244570  4.247919
 0.85  8.885679  4.849574  0.244180  4.223428
 0.86  8.890071  4.855121  0.243760  4.199217
 0.87  8.894394  4.860606  0.243320  4.175282
 0.88  8.898643  4.865982  0.242840  4.151619
 0.89  8.902857  4.871300  0.242340  4.128222
 0.90  8.907037  4.876540  0.241820  4.105086
 0.91  8.911152  4.881704  0.241270  4.082207
 0.92  8.915198  4.886768  0.240700  4.059581
