 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  8.393552
 0.02 -8.000000 -8.000000  0.014765  8.290032
 0.03  6.561498 -1.684139  0.024177  8.189313
 0.04  7.048237 -1.214629  0.033261  8.091276
 0.05  7.324374  0.429872  0.042036  7.995809
 0.06  7.502140  0.947126  0.050515  7.902805
 0.07  7.630549  1.240237  0.058708  7.812163
 0.08  7.730711  1.437113  0.066627  7.723790
 0.09  7.812533  1.582748  0.074281  7.637596
 0.10  7.881492  1.697402  0.081678  7.553496
 0.11  7.938248  1.878289  0.088826  7.471409
 0.12  7.987068  2.056479  0.095733  7.391260
 0.13  8.030010  2.209519  0.102410  7.312977
 0.14  8.068329  2.338291  0.108850  7.236490
 0.15  8.102803  2.447365  0.115080  7.161734
 0.16  8.133494  2.539723  0.121080  7.088648
 0.17  8.161621  2.620620  0.126870  7.017173
 0.18  8.187658  2.692406  0.132460  6.947253
 0.19  8.211944  2.756928  0.137840  6.878833
 0.20  8.234736  2.815420  0.143030  6.811864
 0.21  8.256116  2.868844  0.148030  6.746296
 0.22  8.276278  2.917936  0.152840  6.682083
 0.23  8.295344  2.963272  0.157480  6.619182
 0.24  8.313361  3.005289  0.161940  6.557548
 0.25  8.330480  3.044489  0.166230  6.497143
 0.26  8.346789  3.081237  0.170360  6.437926
 0.27  8.362716  3.116802  0.174340  6.379862
 0.28  8.378157  3.151342  0.178160  6.322914
 0.29  8.392952  3.184837  0.181840  6.267049
 0.30  8.407168  3.217295  0.185370  6.212234
 0.31  8.420887  3.248718  0.188770  6.158438
 0.32  8.434049  3.279078  0.192030  6.105630
 0.33  8.446747  3.308432  0.195160  6.053783
 0.34  8.459054  3.336873  0.198160  6.002867
 0.35  8.470893  3.364329  0.201040  5.952857
 0.36  8.482398  3.390945  0.203790  5.903728
 0.37  8.493489  3.416656  0.206430  5.855454
 0.38  8.504229  3.441547  0.208950  5.808011
 0.39  8.514695  3.465706  0.211370  5.761378
 0.40  8.524810  3.489103  0.213670  5.715532
 0.41  8.534632  3.511817  0.215870  5.670453
 0.42  8.544174  3.533904  0.217960  5.626119
 0.43  8.553502  3.555435  0.219950  5.582511
 0.44  8.562533  3.576349  0.221850  5.539611
 0.45  8.571328  3.596759  0.223650  5.497400
 0.46  8.579892  3.616613  0.225360  5.455861
 0.47  8.588248  3.635981  0.226970  5.414976
 0.48  8.596390  3.654923  0.228510  5.374729
 0.49  8.604341  3.673391  0.229950  5.335105
 0.50  8.612102  3.691443  0.231320  5.296087
 0.51  8.619693  3.709130  0.232600  5.257662
 0.52  8.627107  3.726437  0.233810  5.219815
 0.53  8.634358  3.743381  0.234940  5.182532
 0.54  8.641445  3.759979  0.236000  5.145800
 0.55  8.648381  3.776192  0.236980  5.109606
 0.56  8.655142  3.792075  0.237900  5.073937
 0.57  8.661775  3.807641  0.238740  5.038782
 0.58  8.668272  3.822901  0.239530  5.004128
 0.59  8.674631  3.837859  0.240240  4.969964
 0.60  8.680865  3.852529  0.240900  4.936279
 0.61  8.686978  3.866951  0.241490  4.903062
 0.62  8.692972  3.881110  0.242030  4.870304
 0.63  8.698851  3.895032  0.242510  4.837993
 0.64  8.704617  3.908710  0.242930  4.806120
 0.65  8.710278  3.922192  0.243300  4.774677
 0.66  8.715833  3.935445  0.243620  4.743653
 0.67  8.721291  3.948510  0.243880  4.713039
 0.68  8.726651  3.961382  0.244100  4.682828
 0.69  8.731915  3.974060  0.244270  4.653010
 0.70  8.737088  3.986557  0.244390  4.623577
 0.71  8.742173  3.998903  0.244470  4.594522
 0.72  8.747172  4.011058  0.244500  4.565837
 0.73  8.752083  4.023090  0.244490  4.537514
 0.74  8.756917  4.034939  0.244440  4.509546
 0.75  8.761668  4.046666  0.244350  4.481926
 0.76  8.766350  4.058253  0.244220  4.454646
 0.77  8.770939  4.069684  0.244060  4.427702
 0.78  8.775480  4.080973  0.243860  4.401084
 0.79  8.779936  4.092129  0.243620  4.374789
 0.80  8.784313  4.103119  0.243360  4.348808
 0.81  8.788647  4.113930  0.243050  4.323137
 0.82  8.792901  4.124608  0.242720  4.297769
 0.83  8.797077  4.135097  0.242360  4.272698
 0.84  8.801217  4.145406  0.241970  4.247919
 0.85  8.805282  4.155506  0.241550  4.223428
 0.86  8.809308  4.165404  0.241100  4.199217
 0.87  8.813267  4.175104  0.240620  4.175282
 0.88  8.817150  4.184576  0.240120  4.151619
 0.89  8.821002  4.193834  0.239590  4.128222
 0.90  8.824786  4.202886  0.239040  4.105086
 0.91  8.828502  4.211712  0.238460  4.082207
 0.92  8.832191  4.220331  0.237860  4.059581
