 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.010000  7.028276
 0.02 -8.000000 -8.000000  0.029048  6.958115
 0.03  6.889751 -1.355892  0.046688  6.889464
 0.04  7.376595 -0.886585  0.063064  6.822271
 0.05  7.656379  0.900712  0.078285  6.756486
 0.06  7.831439  1.394926  0.092436  6.692064
 0.07  7.957784  1.670143  0.105590  6.628959
 0.08  8.050952  2.013182  0.117810  6.567130
 0.09  8.123396  2.310276  0.129140  6.506534
 0.10  8.182821  2.526866  0.139650  6.447134
 0.11  8.231671  2.687214  0.149360  6.388891
 0.12  8.274395  2.815083  0.158310  6.331771
 0.13  8.312790  2.920518  0.166560  6.275738
 0.14  8.347402  3.009347  0.174140  6.220761
 0.15  8.378840  3.085416  0.181090  6.166807
 0.16  8.408664  3.154764  0.187460  6.113846
 0.17  8.436777  3.219229  0.193290  6.061850
 0.18  8.462942  3.279223  0.198620  6.010790
 0.19  8.487227  3.334966  0.203480  5.960640
 0.20  8.509865  3.386715  0.207890  5.911374
 0.21  8.531108  3.434851  0.211870  5.862967
 0.22  8.551005  3.479681  0.215450  5.815396
 0.23  8.569790  3.521622  0.218650  5.768638
 0.24  8.587496  3.560897  0.221500  5.722670
 0.25  8.604263  3.597837  0.224020  5.677471
 0.26  8.620212  3.632721  0.226210  5.633022
 0.27  8.635350  3.665647  0.228110  5.589302
 0.28  8.649800  3.697007  0.229720  5.546292
 0.29  8.663612  3.726872  0.231080  5.503974
 0.30  8.676817  3.755381  0.232180  5.462330
 0.31  8.689435  3.782613  0.233060  5.421344
 0.32  8.701523  3.808700  0.233710  5.380998
 0.33  8.713118  3.833745  0.234150  5.341277
 0.34  8.724263  3.857795  0.234400  5.302165
 0.35  8.734974  3.880950  0.234460  5.263649
 0.36  8.745293  3.903251  0.234360  5.225712
 0.37  8.755233  3.924777  0.234090  5.188341
 0.38  8.764834  3.945593  0.233670  5.151524
 0.39  8.774100  3.965759  0.233100  5.115246
 0.40  8.783059  3.985324  0.232410  5.079496
 0.41  8.791726  4.004343  0.231590  5.044261
 0.42  8.800074  4.022817  0.230650  5.009529
 0.43  8.808196  4.040768  0.229610  4.975289
 0.44  8.816101  4.058241  0.228470  4.941529
 0.45  8.823721  4.075250  0.227230  4.908240
 0.46  8.831143  4.091809  0.225910  4.875410
 0.47  8.838337  4.107945  0.224500  4.843030
 0.48  8.845318  4.123684  0.223020  4.811089
 0.49  8.852118  4.139018  0.221470  4.779579
 0.50  8.858755  4.154010  0.219860  4.748490
 0.51  8.865193  4.168629  0.218190  4.717812
 0.52  8.871445  4.182921  0.216460  4.687538
 0.53  8.877579  4.196888  0.214680  4.657659
 0.54  8.883533  4.210546  0.212860  4.628167
 0.55  8.889346  4.223880  0.211000  4.599053
 0.56  8.894992  4.236931  0.209090  4.570310
 0.57  8.900539  4.249679  0.207160  4.541931
 0.58  8.905928  4.262153  0.205190  4.513908
 0.59  8.911192  4.274345  0.203200  4.486234
 0.60  8.916334  4.286284  0.201180  4.458901
 0.61  8.921393  4.297985  0.199140  4.431905
 0.62  8.926309  4.309453  0.197090  4.405236
