 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  7.906889
 0.02 -8.000000 -8.000000  0.014789  7.816144
 0.03  6.550666  2.453377  0.024274  7.727672
 0.04  7.086789  2.935790  0.033479  7.641383
 0.05  7.388150  3.223319  0.042424  7.557192
 0.06  7.582266  3.420689  0.051121  7.475017
 0.07  7.721712  3.566010  0.059578  7.394784
 0.08  7.830269  3.679755  0.067802  7.316418
 0.09  7.918496  3.772363  0.075802  7.239853
 0.10  7.991441  3.848870  0.083585  7.165022
 0.11  8.053568  3.915862  0.091158  7.091863
 0.12  8.107699  3.975354  0.098525  7.020318
 0.13  8.153320  4.026865  0.105690  6.950329
 0.14  8.193658  4.073113  0.112650  6.881844
 0.15  8.230606  4.115519  0.119410  6.814811
 0.16  8.264774  4.154681  0.125980  6.749182
 0.17  8.296352  4.190822  0.132370  6.684910
 0.18  8.325645  4.224249  0.138570  6.621951
 0.19  8.353302  4.255076  0.144590  6.560262
 0.20  8.379885  4.282315  0.150460  6.499803
 0.21  8.404794  4.306648  0.156170  6.440534
 0.22  8.427969  4.329209  0.161720  6.382419
 0.23  8.449525  4.350158  0.167120  6.325423
 0.24  8.469783  4.369874  0.172380  6.269510
 0.25  8.488793  4.388409  0.177490  6.214649
 0.26  8.506742  4.405947  0.182460  6.160808
 0.27  8.523782  4.422629  0.187290  6.107958
 0.28  8.539978  4.438508  0.191990  6.056068
 0.29  8.555443  4.453694  0.196560  6.005111
 0.30  8.570209  4.468219  0.200990  5.955062
 0.31  8.584350  4.482150  0.205300  5.905894
 0.32  8.597937  4.495586  0.209490  5.857582
 0.33  8.611207  4.509310  0.213550  5.810103
 0.34  8.624174  4.523111  0.217480  5.763435
 0.35  8.636769  4.536507  0.221300  5.717554
 0.36  8.649017  4.549527  0.225000  5.672441
 0.37  8.660954  4.562191  0.228590  5.628074
 0.38  8.672599  4.574554  0.232060  5.584435
 0.39  8.683959  4.586572  0.235420  5.541504
 0.40  8.695051  4.598260  0.238680  5.499262
 0.41  8.705883  4.609713  0.241830  5.457693
 0.42  8.716472  4.620866  0.244870  5.416780
 0.43  8.726820  4.631805  0.247820  5.376505
 0.44  8.736948  4.642469  0.250660  5.336853
 0.45  8.746850  4.652903  0.253410  5.297809
 0.46  8.756551  4.663126  0.256060  5.259358
 0.47  8.766050  4.673138  0.258620  5.221486
 0.48  8.775359  4.682949  0.261090  5.184178
 0.49  8.784490  4.692575  0.263470  5.147422
 0.50  8.793414  4.701982  0.265760  5.111204
 0.51  8.802183  4.711217  0.267960  5.075512
 0.52  8.810803  4.720286  0.270080  5.040334
 0.53  8.819241  4.729225  0.272120  5.005658
 0.54  8.827537  4.738034  0.274080  4.971472
 0.55  8.835706  4.746640  0.275960  4.937766
 0.56  8.843706  4.755126  0.277770  4.904529
 0.57  8.851584  4.763475  0.279500  4.871750
 0.58  8.859343  4.771661  0.281150  4.839420
 0.59  8.866953  4.779720  0.282730  4.807528
 0.60  8.874449  4.787623  0.284250  4.776066
 0.61  8.881844  4.795412  0.285690  4.745023
 0.62  8.889098  4.803081  0.287060  4.714392
 0.63  8.896258  4.810644  0.288370  4.684162
 0.64  8.903285  4.818069  0.289620  4.654327
 0.65  8.910220  4.825390  0.290800  4.624878
 0.66  8.917066  4.832587  0.291920  4.595806
 0.67  8.923794  4.839711  0.292980  4.567104
 0.68  8.930438  4.846717  0.293980  4.538765
 0.69  8.937002  4.853608  0.294930  4.510782
 0.70  8.943457  4.860435  0.295810  4.483146
 0.71  8.949801  4.867148  0.296650  4.455852
 0.72  8.956106  4.873783  0.297420  4.428892
 0.73  8.962306  4.880333  0.298150  4.402261
 0.74  8.968412  4.886809  0.298830  4.375951
 0.75  8.974503  4.893182  0.299450  4.349956
 0.76  8.980505  4.899551  0.300030  4.324271
 0.77  8.986437  4.905820  0.300560  4.298890
 0.78  8.992284  4.912022  0.301050  4.273806
 0.79  8.998066  4.918172  0.301490  4.249015
 0.80  9.003789  4.924213  0.301880  4.224510
 0.81  9.009432  4.930213  0.302240  4.200287
 0.82  9.015015  4.936105  0.302550  4.176341
 0.83  9.020518  4.941955  0.302820  4.152665
 0.84  9.025968  4.947726  0.303060  4.129257
 0.85  9.031366  4.953418  0.303250  4.106109
 0.86  9.036689  4.959053  0.303410  4.083219
 0.87  9.041964  4.964615  0.303520  4.060581
 0.88  9.047161  4.970117  0.303600  4.038191
 0.89  9.052341  4.975554  0.303650  4.016045
 0.90  9.057428  4.980921  0.303660  3.994138
 0.91  9.062490  4.986234  0.303630  3.972467
 0.92  9.067489  4.991486  0.303580  3.951026
 0.93  9.072419  4.996686  0.303490  3.929813
 0.94  9.077331  5.001822  0.303360  3.908824
 0.95  9.082184  5.006901  0.303210  3.888054
 0.96  9.086972  5.011932  0.303030  3.867500
 0.97  9.091743  5.016904  0.302810  3.847158
 0.98  9.096455  5.021817  0.302570  3.827026
 0.99  9.101108  5.026690  0.302300  3.807098
 1.00  9.105748  5.031508  0.302000  3.787373
 1.01  9.110230  5.036192  0.308380  3.767847
 1.02  9.108891  5.041329  0.313530  3.748517
 1.03  9.103161  5.036794  0.318320  3.729378
