 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.010000  9.266831
 0.02 -8.000000 -8.000000  0.019567  9.137839
 0.03  6.878582 -1.367055  0.028739  9.012820
 0.04  7.269990 -0.998382  0.037545  8.891580
 0.05  7.505464  0.696225  0.046004  8.773940
 0.06  7.658386  1.173868  0.054132  8.659732
 0.07  7.772398  1.436375  0.061943  8.548799
 0.08  7.862960  1.613817  0.069451  8.440992
 0.09  7.936258  1.804603  0.076665  8.336173
 0.10  7.996016  2.025186  0.083598  8.234211
 0.11  8.047017  2.214740  0.090258  8.134984
 0.12  8.091540  2.369037  0.096657  8.038376
 0.13  8.130590  2.494800  0.102800  7.944278
 0.14  8.164952  2.599090  0.108690  7.852588
 0.15  8.196154  2.688684  0.114340  7.763208
 0.16  8.224807  2.766958  0.119750  7.676046
 0.17  8.251374  2.836383  0.124940  7.591015
 0.18  8.276049  2.898614  0.129910  7.508034
 0.19  8.299054  2.954836  0.134670  7.427024
 0.20  8.320562  3.005920  0.139230  7.347911
 0.21  8.340786  3.052706  0.143580  7.270625
 0.22  8.359993  3.096164  0.147750  7.195100
 0.23  8.378626  3.137909  0.151740  7.121271
 0.24  8.396464  3.178032  0.155560  7.049080
 0.25  8.413447  3.216619  0.159210  6.978468
 0.26  8.429686  3.253670  0.162700  6.909381
 0.27  8.445160  3.289101  0.166040  6.841766
 0.28  8.459964  3.323038  0.169220  6.775575
 0.29  8.474182  3.355620  0.172260  6.710759
 0.30  8.487788  3.386841  0.175150  6.647274
 0.31  8.500907  3.416877  0.177910  6.585076
 0.32  8.513478  3.445710  0.180530  6.524124
 0.33  8.525592  3.473451  0.183030  6.464378
 0.34  8.537269  3.500171  0.185400  6.405801
 0.35  8.548584  3.525979  0.187650  6.348356
 0.36  8.559474  3.550849  0.189780  6.292009
 0.37  8.570003  3.574891  0.191800  6.236726
 0.38  8.580191  3.598111  0.193700  6.182476
 0.39  8.590060  3.620666  0.195500  6.129228
 0.40  8.599628  3.642491  0.197200  6.076953
 0.41  8.608915  3.663670  0.198800  6.025622
 0.42  8.617929  3.684247  0.200300  5.975208
 0.43  8.626698  3.704288  0.201700  5.925687
 0.44  8.635223  3.723766  0.203020  5.877031
 0.45  8.643515  3.742714  0.204250  5.829218
 0.46  8.651540  3.761148  0.205400  5.782224
 0.47  8.659383  3.779125  0.206460  5.736028
 0.48  8.667013  3.796650  0.207440  5.690606
 0.49  8.674441  3.813752  0.208350  5.645940
 0.50  8.681685  3.830454  0.209180  5.602009
 0.51  8.688746  3.846779  0.209950  5.558793
 0.52  8.695641  3.862747  0.210640  5.516275
 0.53  8.702371  3.878354  0.211260  5.474436
 0.54  8.708942  3.893654  0.211820  5.433259
 0.55  8.715365  3.908644  0.212320  5.392727
 0.56  8.721639  3.923316  0.212750  5.352825
 0.57  8.727774  3.937706  0.213130  5.313537
 0.58  8.733778  3.951791  0.213450  5.274848
 0.59  8.739648  3.965598  0.213710  5.236743
 0.60  8.745400  3.979148  0.213920  5.199209
 0.61  8.751029  3.992443  0.214080  5.162231
 0.62  8.756539  4.005462  0.214180  5.125797
 0.63  8.761938  4.018267  0.214240  5.089894
 0.64  8.767237  4.030822  0.214260  5.054509
 0.65  8.772435  4.043167  0.214220  5.019631
 0.66  8.777492  4.055294  0.214150  4.985248
 0.67  8.782492  4.067237  0.214030  4.951349
