 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  9.266831
 0.02 -8.000000 -8.000000  0.014734  9.137839
 0.03  6.556646  2.456067  0.024055  9.012820
 0.04  7.100103  2.941153  0.032996  8.891580
 0.05  7.405051  3.230266  0.041581  8.773940
 0.06  7.600224  3.428345  0.049831  8.659732
 0.07  7.739753  3.573758  0.057758  8.548799
 0.08  7.848019  3.687256  0.065377  8.440992
 0.09  7.935508  3.779166  0.072699  8.336173
 0.10  8.007773  3.855268  0.079738  8.234211
 0.11  8.069187  3.922016  0.086504  8.134984
 0.12  8.122592  3.981247  0.093007  8.038376
 0.13  8.166696  4.031826  0.099248  7.944278
 0.14  8.206155  4.077645  0.105240  7.852588
 0.15  8.242408  4.119706  0.110980  7.763208
 0.16  8.275861  4.158426  0.116490  7.676046
 0.17  8.306627  4.193998  0.121770  7.591015
 0.18  8.335207  4.226910  0.126830  7.508034
 0.19  8.362342  4.256710  0.131680  7.427024
 0.20  8.388254  4.283120  0.136340  7.347911
 0.21  8.412444  4.307201  0.140800  7.270625
 0.22  8.434824  4.329700  0.145090  7.195100
 0.23  8.455684  4.350879  0.149200  7.121271
 0.24  8.475178  4.370921  0.153150  7.049080
 0.25  8.493479  4.389951  0.156920  6.978468
 0.26  8.510721  4.408065  0.160540  6.909381
 0.27  8.527061  4.425391  0.164000  6.841766
 0.28  8.542563  4.441957  0.167320  6.775575
 0.29  8.557256  4.457792  0.170480  6.710759
 0.30  8.571304  4.473032  0.173510  6.647274
 0.31  8.584738  4.487704  0.176400  6.585076
 0.32  8.597581  4.501830  0.179160  6.524124
 0.33  8.610108  4.516204  0.181780  6.464378
 0.34  8.622309  4.530610  0.184280  6.405801
 0.35  8.634139  4.544508  0.186660  6.348356
 0.36  8.645605  4.557938  0.188910  6.292009
 0.37  8.656740  4.570935  0.191060  6.236726
 0.38  8.667571  4.583526  0.193090  6.182476
 0.39  8.678111  4.595713  0.195010  6.129228
 0.40  8.688366  4.607547  0.196820  6.076953
 0.41  8.698359  4.619058  0.198540  6.025622
 0.42  8.708087  4.630215  0.200150  5.975208
 0.43  8.717576  4.641118  0.201670  5.925687
 0.44  8.726833  4.651705  0.203100  5.877031
 0.45  8.735857  4.662059  0.204430  5.829218
 0.46  8.744674  4.672128  0.205680  5.782224
 0.47  8.753276  4.681984  0.206850  5.736028
 0.48  8.761688  4.691578  0.207930  5.690606
 0.49  8.769902  4.700982  0.208940  5.645940
 0.50  8.777936  4.710145  0.209870  5.602009
 0.51  8.785813  4.719136  0.210720  5.558793
 0.52  8.793480  4.727899  0.211500  5.516275
 0.53  8.801027  4.736475  0.212220  5.474436
 0.54  8.808382  4.744874  0.212860  5.433259
 0.55  8.815587  4.753129  0.213440  5.392727
 0.56  8.822652  4.761248  0.213960  5.352825
 0.57  8.829615  4.769176  0.214420  5.313537
 0.58  8.836409  4.776980  0.214810  5.274848
 0.59  8.843071  4.784605  0.215150  5.236743
 0.60  8.849607  4.792111  0.215440  5.199209
 0.61  8.856023  4.799453  0.215670  5.162231
 0.62  8.862320  4.806660  0.215850  5.125797
 0.63  8.868506  4.813740  0.215980  5.089894
 0.64  8.874579  4.820692  0.216060  5.054509
 0.65  8.880547  4.827525  0.216090  5.019631
 0.66  8.886408  4.834238  0.216080  4.985248
 0.67  8.892171  4.840840  0.216030  4.951349
 0.68  8.897805  4.847333  0.215930  4.917924
 0.69  8.903369  4.853713  0.215800  4.884961
 0.70  8.908847  4.859996  0.215620  4.852450
 0.71  8.914232  4.866175  0.215410  4.820382
 0.72  8.919527  4.872254  0.215160  4.788747
 0.73  8.924706  4.878262  0.214880  4.757535
 0.74  8.929835  4.884178  0.214570  4.726739
 0.75  8.934880  4.890002  0.214220  4.696348
 0.76  8.939843  4.895756  0.213840  4.666354
 0.77  8.944730  4.901427  0.213430  4.636749
 0.78  8.949513  4.907015  0.212990  4.607526
 0.79  8.954250  4.912518  0.212520  4.578675
 0.80  8.958916  4.917964  0.212030  4.550190
 0.81  8.963514  4.923315  0.211510  4.522064
 0.82  8.968068  4.928606  0.210970  4.494288
 0.83  8.972584  4.933864  0.210400  4.466857
 0.84  8.977002  4.939026  0.209810  4.439763
 0.85  8.981357  4.944120  0.209210  4.412999
 0.86  8.985678  4.949127  0.208570  4.386560
 0.87  8.989906  4.954045  0.207920  4.360438
 0.88  8.994097  4.958894  0.207250  4.334629
 0.89  8.998207  4.963687  0.206570  4.309125
 0.90  9.002278  4.968372  0.205860  4.283922
 0.91  9.006297  4.973004  0.205140  4.259013
 0.92  9.010252  4.977569  0.204400  4.234393
 0.93  9.014158  4.982065  0.203640  4.210056
 0.94  9.018006  4.986484  0.202870  4.185999
 0.95  9.021823  4.990828  0.202090  4.162214
 0.96  9.025569  4.995125  0.201290  4.138698
 0.97  9.029280  4.999328  0.200470  4.115445
 0.98  9.032943  5.003482  0.199650  4.092452
 0.99  9.036557  5.007571  0.198810  4.069712
 1.00  9.040123  5.011614  0.197960  4.047223
 1.01  9.043551  5.015460  0.203690  4.024978
 1.02  9.040904  5.019677  0.208720  4.002975
 1.03  9.032679  5.013493  0.213460  3.981209
 1.04  9.024381  5.006228  0.218030  3.959675
 1.05  9.016396  4.999279  0.222470  3.938371
 1.06  9.008696  4.992596  0.226820  3.917291
 1.07  9.001250  4.986184  0.231070  3.896433
 1.08  8.994040  4.979996  0.235240  3.875792
 1.09  8.987050  4.974022  0.239350  3.855365
 1.10  8.980290  4.968272  0.243380  3.835148
 1.11  8.973714  4.962679  0.247360  3.815138
 1.12  8.967335  4.957273  0.251270  3.795332
 1.13  8.961152  4.952013  0.255130  3.775725
 1.14  8.955119  4.946927  0.258940  3.756316
 1.15  8.949241  4.941983  0.262700  3.737100
 1.16  8.943551  4.937200  0.266410  3.718075
 1.17  8.937968  4.932547  0.270070  3.699238
 1.18  8.932554  4.928025  0.273680  3.680585
 1.19  8.927283  4.923637  0.277250  3.662115
 1.20  8.922124  4.919342  0.280780  3.643823
 1.21  8.917118  4.915167  0.284270  3.625707
 1.22  8.912206  4.911095  0.287710  3.607765
 1.23  8.907422  4.907129  0.291120  3.589993
 1.24  8.902728  4.903240  0.294480  3.572390
 1.25  8.898171  4.899420  0.297810  3.554952
 1.26  8.893682  4.895708  0.301100  3.537678
 1.27  8.889332  4.892041  0.304350  3.520564
 1.28  8.885056  4.888465  0.307570  3.503608
 1.29  8.880885  4.884934  0.310750  3.486809
 1.30  8.876794  4.881474  0.313900  3.470163
 1.31  8.872783  4.878065  0.317020  3.453668
 1.32  8.868856  4.874732  0.320100  3.437323
 1.33  8.865045  4.871425  0.323150  3.421125
 1.34  8.861281  4.868191  0.326160  3.405072
 1.35  8.857606  4.864991  0.329150  3.389161
 1.36  8.853987  4.861870  0.332100  3.373392
 1.37  8.850452  4.858775  0.335020  3.357761
 1.38  8.846975  4.855740  0.337910  3.342267
 1.39  8.843590  4.852760  0.340770  3.326908
 1.40  8.840263  4.849814  0.343600  3.311682
 1.41  8.836997  4.846907  0.346410  3.296587
 1.42  8.833787  4.844053  0.349180  3.281622
