 t       A(O)      A(F)      fg       z
 1.12  9.115225  5.055534  0.319940  3.619378
 1.13  9.110071  5.051010  0.323810  3.601496
 1.14  9.105043  5.046613  0.327620  3.583784
 1.15  9.100123  5.042330  0.331380  3.566239
 1.16  9.095330  5.038159  0.335090  3.548859
 1.17  9.090651  5.034092  0.338750  3.531642
 1.18  9.086089  5.030114  0.342360  3.514584
 1.19  9.081620  5.026239  0.345920  3.497683
 1.20  9.077240  5.022447  0.349440  3.480938
 1.21  9.072962  5.018733  0.352920  3.464346
 1.22  9.068783  5.015094  0.356360  3.447904
 1.23  9.064701  5.011527  0.359750  3.431611
 1.24  9.060676  5.008021  0.363110  3.415464
 1.25  9.056756  5.004593  0.366430  3.399461
 1.26  9.052915  5.001224  0.369710  3.383600
 1.27  9.049156  4.997897  0.372950  3.367880
 1.28  9.045455  4.994631  0.376150  3.352297
 1.29  9.041842  4.991412  0.379320  3.336851
 1.30  9.038311  4.988252  0.382460  3.321539
 1.31  9.034822  4.985142  0.385560  3.306359
 1.32  9.031418  4.982073  0.388630  3.291310
 1.33  9.028078  4.979052  0.391660  3.276390
 1.34  9.024779  4.976078  0.394660  3.261596
 1.35  9.021574  4.973153  0.397630  3.246928
 1.36  9.018407  4.970254  0.400560  3.232384
 1.37  9.015310  4.967424  0.403470  3.217961
 1.38  9.012257  4.964626  0.406340  3.203659
 1.39  9.009272  4.961875  0.409190  3.189475
 1.40  9.006329  4.959153  0.412000  3.175408
 1.41  9.003460  4.956484  0.414790  3.161457
 1.42  9.000635  4.953844  0.417540  3.147620
 1.43  8.997827  4.951235  0.420270  3.133895
 1.44  8.995096  4.948681  0.422970  3.120281
 1.45  8.992411  4.946158  0.425640  3.106777
 1.46  8.989773  4.943667  0.428290  3.093381
 1.47  8.987182  4.941208  0.430910  3.080092
 1.48  8.984617  4.938807  0.433500  3.066908
 1.49  8.982123  4.936415  0.436070  3.053828
 1.50  8.979656  4.934062  0.438610  3.040851
 1.51  8.977211  4.931763  0.441130  3.027975
 1.52  8.974840  4.929474  0.443620  3.015200
 1.53  8.972497  4.927225  0.446080  3.002523
 1.54  8.970172  4.925007  0.448530  2.989944
 1.55  8.967905  4.922830  0.450940  2.977462
 1.56  8.965657  4.920664  0.453340  2.965075
 1.57  8.963468  4.918540  0.455710  2.952782
 1.58  8.961299  4.916449  0.458060  2.940582
 1.59  8.959185  4.914375  0.460390  2.928474
 1.60  8.957062  4.912335  0.462700  2.916456
 1.61  8.955001  4.910338  0.464980  2.904528
 1.62  8.952961  4.908354  0.467240  2.892689
 1.63  8.950982  4.906393  0.469490  2.880937
 1.64  8.948992  4.904463  0.471710  2.869272
 1.65  8.947064  4.902577  0.473910  2.857692
 1.66  8.945159  4.900684  0.476090  2.846196
 1.67  8.943283  4.898832  0.478250  2.834784
 1.68  8.941436  4.897021  0.480390  2.823455
 1.69  8.939612  4.895226  0.482510  2.812206
 1.70  8.937788  4.893450  0.484610  2.801039
 1.71  8.936018  4.891691  0.486690  2.789951
 1.72  8.934279  4.889952  0.488750  2.778942
 1.73  8.932570  4.888255  0.490800  2.768010
 1.74  8.930887  4.886575  0.492830  2.757156
 1.75  8.929203  4.884916  0.494830  2.746377
 1.76  8.927581  4.883279  0.496820  2.735674
 1.77  8.925954  4.881658  0.498800  2.725045
 1.78  8.924354  4.880055  0.500750  2.714489
 1.79  8.922786  4.878496  0.502690  2.704007
 1.80  8.921249  4.876937  0.504620  2.693596
 1.81  8.919741  4.875418  0.506520  2.683256
 1.82  8.918228  4.873895  0.508410  2.672986
 1.83  8.916747  4.872418  0.510280  2.662787
 1.84  8.915295  4.870936  0.512130  2.652655
 1.85  8.913843  4.869500  0.513970  2.642592
 1.86  8.912457  4.868064  0.515790  2.632596
 1.87  8.911035  4.866670  0.517590  2.622667
 1.88  8.909674  4.865273  0.519370  2.612804
 1.89  8.908310  4.863895  0.521140  2.603005
 1.90  8.906980  4.862540  0.522890  2.593272
 1.91  8.905684  4.861210  0.524630  2.583602
 1.92  8.904385  4.859900  0.526350  2.573995
 1.93  8.903116  4.858610  0.528050  2.564450
